name	N_tot	nbg_tot	nsig_tot	n_tot	rate_bg	rate_sig	rate_tot	log_rate_tot	n_ind	N_ind	mu_ind	exclude_from_pCL
ZL1132727	28852344	131	79	210	4.540359e-06	2.738079e-06	7.278438e-06	-5.137962e+00	11	8.655703e+07	1.270838e-07	0
ZL1134324	28852344	64	30	94	2.218191e-06	1.039777e-06	3.257968e-06	-5.487053e+00	3	8.655703e+07	3.465923e-08	0
ZL1135196	28852344	104	59	163	3.604560e-06	2.044895e-06	5.649454e-06	-5.247993e+00	12	8.655703e+07	1.386369e-07	0
ZL1135526	28852344	75	43	118	2.599442e-06	1.490347e-06	4.089789e-06	-5.388299e+00	8	8.655703e+07	9.242461e-08	0
ZL1135687	28852344	82	45	127	2.842057e-06	1.559665e-06	4.401722e-06	-5.356377e+00	8	8.655703e+07	9.242461e-08	0
ZL1135777	28852344	62	39	101	2.148872e-06	1.351710e-06	3.500582e-06	-5.455860e+00	8	8.655703e+07	9.242461e-08	0
ZL1135893	28852344	31	14	45	1.074436e-06	4.852292e-07	1.559665e-06	-5.806969e+00	1	8.655703e+07	1.155308e-08	0
ZL1135916	28852344	56	31	87	1.940917e-06	1.074436e-06	3.015353e-06	-5.520662e+00	5	8.655703e+07	5.776538e-08	0
ZL1136162	28852344	37	16	53	1.282391e-06	5.545477e-07	1.836939e-06	-5.735905e+00	5	8.655703e+07	5.776538e-08	0
ZL1136289	28852344	80	61	141	2.772738e-06	2.114213e-06	4.886951e-06	-5.310962e+00	14	8.655703e+07	1.617431e-07	0
ZL1136315	28852344	3	1	4	1.039777e-07	3.465923e-08	1.386369e-07	-6.858121e+00	0	8.655703e+07	0	0
ZL1136555	28852344	86	23	109	2.980694e-06	7.971623e-07	3.777856e-06	-5.422755e+00	3	8.655703e+07	3.465923e-08	0
ZL1136727	28852344	865	417	1282	2.998023e-05	1.445290e-05	4.443313e-05	-4.352293e+00	23	8.655703e+07	2.657208e-07	1
ZL1136761	28852344	131	73	204	4.540359e-06	2.530124e-06	7.070483e-06	-5.150551e+00	18	8.655703e+07	2.079554e-07	0
ZL1137133	28852344	177	91	268	6.134684e-06	3.153990e-06	9.288673e-06	-5.032046e+00	2	8.655703e+07	2.310615e-08	0
ZL1137172	28852344	10	5	15	3.465923e-07	1.732961e-07	5.198884e-07	-6.284090e+00	0	8.655703e+07	0	0
ZL1137270	28852344	156	96	252	5.406840e-06	3.327286e-06	8.734126e-06	-5.058781e+00	17	8.655703e+07	1.964023e-07	0
ZL1137379	28852344	2	0	2	6.931846e-08	0	6.931846e-08	-7.159151e+00	0	8.655703e+07	0	0
ZL1137449	28852344	101	65	166	3.500582e-06	2.252850e-06	5.753432e-06	-5.240073e+00	13	8.655703e+07	1.501900e-07	0
ZL1137632	28852344	41	20	61	1.421028e-06	6.931846e-07	2.114213e-06	-5.674851e+00	1	8.655703e+07	1.155308e-08	0
ZL1137732	28852344	151	70	221	5.233544e-06	2.426146e-06	7.659690e-06	-5.115789e+00	13	8.655703e+07	1.501900e-07	0
ZL1137748	28852344	277	129	406	9.600606e-06	4.471041e-06	1.407165e-05	-4.851655e+00	7	8.655703e+07	8.087154e-08	0
ZL1137810	28852344	33	21	54	1.143755e-06	7.278438e-07	1.871598e-06	-5.727787e+00	5	8.655703e+07	5.776538e-08	0
ZL1137816	28852344	101	74	175	3.500582e-06	2.564783e-06	6.065365e-06	-5.217143e+00	13	8.655703e+07	1.501900e-07	0
ZL1138220	28852344	218	112	330	7.555712e-06	3.881834e-06	1.143755e-05	-4.941667e+00	16	8.655703e+07	1.848492e-07	0
ZL1138247	28852344	26	17	43	9.011400e-07	5.892069e-07	1.490347e-06	-5.826713e+00	2	8.655703e+07	2.310615e-08	0
ZL1138279	28852344	60	28	88	2.079554e-06	9.704584e-07	3.050012e-06	-5.515698e+00	3	8.655703e+07	3.465923e-08	0
ZL1138297	28852344	158	92	250	5.476158e-06	3.188649e-06	8.664807e-06	-5.062241e+00	11	8.655703e+07	1.270838e-07	0
ZL1138367	28852344	39	15	54	1.351710e-06	5.198884e-07	1.871598e-06	-5.727787e+00	2	8.655703e+07	2.310615e-08	0
ZL1138649	28852344	120	44	164	4.159107e-06	1.525006e-06	5.684114e-06	-5.245337e+00	5	8.655703e+07	5.776538e-08	0
ZL1138854	28852344	70	43	113	2.426146e-06	1.490347e-06	3.916493e-06	-5.407103e+00	9	8.655703e+07	1.039777e-07	0
ZL1138867	28852344	57	28	85	1.975576e-06	9.704584e-07	2.946034e-06	-5.530762e+00	2	8.655703e+07	2.310615e-08	0
ZL1139109	28852344	92	57	149	3.188649e-06	1.975576e-06	5.164225e-06	-5.286995e+00	15	8.655703e+07	1.732961e-07	0
ZL1139195	28852344	62	39	101	2.148872e-06	1.351710e-06	3.500582e-06	-5.455860e+00	8	8.655703e+07	9.242461e-08	0
ZL1139220	28852344	67	41	108	2.322168e-06	1.421028e-06	3.743197e-06	-5.426757e+00	4	8.655703e+07	4.621231e-08	0
ZL1139421	28852344	62	32	94	2.148872e-06	1.109095e-06	3.257968e-06	-5.487053e+00	5	8.655703e+07	5.776538e-08	0
ZL1139424	28852344	52	15	67	1.802280e-06	5.198884e-07	2.322168e-06	-5.634106e+00	3	8.655703e+07	3.465923e-08	0
ZL1139564	28852344	88	44	132	3.050012e-06	1.525006e-06	4.575018e-06	-5.339607e+00	10	8.655703e+07	1.155308e-07	0
ZL1139784	28852344	65	47	112	2.252850e-06	1.628984e-06	3.881834e-06	-5.410963e+00	13	8.655703e+07	1.501900e-07	0
ZL1139936	28852344	35	26	61	1.213073e-06	9.011400e-07	2.114213e-06	-5.674851e+00	3	8.655703e+07	3.465923e-08	0
ZL1139961	28852344	200	105	305	6.931846e-06	3.639219e-06	1.057106e-05	-4.975881e+00	11	8.655703e+07	1.270838e-07	0
ZL1139972	28852344	107	50	157	3.708538e-06	1.732961e-06	5.441499e-06	-5.264281e+00	11	8.655703e+07	1.270838e-07	0
ZL1140305	28852344	35	27	62	1.213073e-06	9.357992e-07	2.148872e-06	-5.667789e+00	8	8.655703e+07	9.242461e-08	0
ZL1140523	28852344	246	144	390	8.526170e-06	4.990929e-06	1.351710e-05	-4.869116e+00	13	8.655703e+07	1.501900e-07	0
ZL1140557	28852344	27	15	42	9.357992e-07	5.198884e-07	1.455688e-06	-5.836932e+00	4	8.655703e+07	4.621231e-08	0
ZL1140665	28852344	185	77	262	6.411957e-06	2.668761e-06	9.080718e-06	-5.041880e+00	8	8.655703e+07	9.242461e-08	0
ZL1141052	28852344	31	27	58	1.074436e-06	9.357992e-07	2.010235e-06	-5.696753e+00	12	8.655703e+07	1.386369e-07	0
ZL1141078	28852344	63	29	92	2.183531e-06	1.005118e-06	3.188649e-06	-5.496393e+00	1	8.655703e+07	1.155308e-08	0
ZL1141129	28852344	80	41	121	2.772738e-06	1.421028e-06	4.193767e-06	-5.377396e+00	6	8.655703e+07	6.931846e-08	0
ZL1141141	28852344	138	82	220	4.782974e-06	2.842057e-06	7.625030e-06	-5.117758e+00	20	8.655703e+07	2.310615e-07	0
ZL1141184	28852344	75	36	111	2.599442e-06	1.247732e-06	3.847174e-06	-5.414858e+00	9	8.655703e+07	1.039777e-07	0
ZL1141410	28852344	120	66	186	4.159107e-06	2.287509e-06	6.446617e-06	-5.190668e+00	10	8.655703e+07	1.155308e-07	0
ZL1141532	28852344	62	30	92	2.148872e-06	1.039777e-06	3.188649e-06	-5.496393e+00	4	8.655703e+07	4.621231e-08	0
ZL117411	28852344	103	69	172	3.569901e-06	2.391487e-06	5.961387e-06	-5.224653e+00	9	8.655703e+07	1.039777e-07	0
ZL119464	28852344	100	48	148	3.465923e-06	1.663643e-06	5.129566e-06	-5.289919e+00	10	8.655703e+07	1.155308e-07	0
ZL122906	28852344	77	58	135	2.668761e-06	2.010235e-06	4.678996e-06	-5.329847e+00	6	8.655703e+07	6.931846e-08	0
ZL130896	28852344	127	58	185	4.401722e-06	2.010235e-06	6.411957e-06	-5.193009e+00	8	8.655703e+07	9.242461e-08	0
ZL135285	28852344	89	49	138	3.084671e-06	1.698302e-06	4.782974e-06	-5.320302e+00	12	8.655703e+07	1.386369e-07	0
ZL143005	28852344	722	343	1065	2.502396e-05	1.188812e-05	3.691208e-05	-4.432831e+00	19	8.655703e+07	2.195085e-07	1
ZL144459	28852344	66	35	101	2.287509e-06	1.213073e-06	3.500582e-06	-5.455860e+00	10	8.655703e+07	1.155308e-07	0
ZL145150	28852344	156	77	233	5.406840e-06	2.668761e-06	8.075600e-06	-5.092825e+00	16	8.655703e+07	1.848492e-07	0
ZL154137T	28852344	36	19	55	1.247732e-06	6.585254e-07	1.906258e-06	-5.719818e+00	4	8.655703e+07	4.621231e-08	0
ZL160571	28852344	111	54	165	3.847174e-06	1.871598e-06	5.718773e-06	-5.242697e+00	12	8.655703e+07	1.386369e-07	0
ZL160658	28852344	48	34	82	1.663643e-06	1.178414e-06	2.842057e-06	-5.546367e+00	11	8.655703e+07	1.270838e-07	0
ZL163085	28852344	98	58	156	3.396604e-06	2.010235e-06	5.406840e-06	-5.267057e+00	3	8.655703e+07	3.465923e-08	0
ZL163503	28852344	139	66	205	4.817633e-06	2.287509e-06	7.105142e-06	-5.148427e+00	11	8.655703e+07	1.270838e-07	0
ZL165633	28852344	47	24	71	1.628984e-06	8.318215e-07	2.460805e-06	-5.608923e+00	8	8.655703e+07	9.242461e-08	0
ZL166217	28852344	52	38	90	1.802280e-06	1.317051e-06	3.119331e-06	-5.505939e+00	17	8.655703e+07	1.964023e-07	0
ZL169282	28852344	89	60	149	3.084671e-06	2.079554e-06	5.164225e-06	-5.286995e+00	13	8.655703e+07	1.501900e-07	0
ZL170022	28852344	73	31	104	2.530124e-06	1.074436e-06	3.604560e-06	-5.443148e+00	2	8.655703e+07	2.310615e-08	0
ZL171919	28852344	216	85	301	7.486393e-06	2.946034e-06	1.043243e-05	-4.981615e+00	7	8.655703e+07	8.087154e-08	0
ZL173347	28852344	5	5	10	1.732961e-07	1.732961e-07	3.465923e-07	-6.460181e+00	0	8.655703e+07	0	0
ZL173419	28852344	120	59	179	4.159107e-06	2.044895e-06	6.204002e-06	-5.207328e+00	15	8.655703e+07	1.732961e-07	0
ZL173520	28852344	87	56	143	3.015353e-06	1.940917e-06	4.956270e-06	-5.304845e+00	12	8.655703e+07	1.386369e-07	0
ZL176154	28852344	37	15	52	1.282391e-06	5.198884e-07	1.802280e-06	-5.744178e+00	3	8.655703e+07	3.465923e-08	0
ZL183080	28852344	114	54	168	3.951152e-06	1.871598e-06	5.822750e-06	-5.234872e+00	8	8.655703e+07	9.242461e-08	0
ZL183247	28852344	2	1	3	6.931846e-08	3.465923e-08	1.039777e-07	-6.983060e+00	0	8.655703e+07	0	0
ZL185536	28852344	114	48	162	3.951152e-06	1.663643e-06	5.614795e-06	-5.250666e+00	13	8.655703e+07	1.501900e-07	0
ZL187056T	28852344	15	14	29	5.198884e-07	4.852292e-07	1.005118e-06	-5.997783e+00	1	8.655703e+07	1.155308e-08	0
ZL187784	28852344	55	30	85	1.906258e-06	1.039777e-06	2.946034e-06	-5.530762e+00	5	8.655703e+07	5.776538e-08	0
ZL193447	28852344	58	35	93	2.010235e-06	1.213073e-06	3.223308e-06	-5.491698e+00	7	8.655703e+07	8.087154e-08	0
ZL200007	28852344	76	39	115	2.634101e-06	1.351710e-06	3.985811e-06	-5.399483e+00	6	8.655703e+07	6.931846e-08	0
ZL200095	28852344	58	36	94	2.010235e-06	1.247732e-06	3.257968e-06	-5.487053e+00	3	8.655703e+07	3.465923e-08	0
ZL200191	28852344	62	53	115	2.148872e-06	1.836939e-06	3.985811e-06	-5.399483e+00	10	8.655703e+07	1.155308e-07	0
ZL200205	28852344	51	32	83	1.767621e-06	1.109095e-06	2.876716e-06	-5.541103e+00	7	8.655703e+07	8.087154e-08	0
ZL200206	28852344	53	30	83	1.836939e-06	1.039777e-06	2.876716e-06	-5.541103e+00	4	8.655703e+07	4.621231e-08	0
ZL200236	28852344	37	31	68	1.282391e-06	1.074436e-06	2.356828e-06	-5.627672e+00	8	8.655703e+07	9.242461e-08	0
ZL200258	28852344	54	26	80	1.871598e-06	9.011400e-07	2.772738e-06	-5.557091e+00	10	8.655703e+07	1.155308e-07	0
ZL200312	28852344	27	17	44	9.357992e-07	5.892069e-07	1.525006e-06	-5.816728e+00	3	8.655703e+07	3.465923e-08	0
ZL200387	28852344	148	71	219	5.129566e-06	2.460805e-06	7.590371e-06	-5.119737e+00	11	8.655703e+07	1.270838e-07	0
ZL200509	28852344	50	39	89	1.732961e-06	1.351710e-06	3.084671e-06	-5.510791e+00	7	8.655703e+07	8.087154e-08	0
ZL200531	28852344	41	28	69	1.421028e-06	9.704584e-07	2.391487e-06	-5.621332e+00	6	8.655703e+07	6.931846e-08	0
ZL200638	28852344	50	36	86	1.732961e-06	1.247732e-06	2.980694e-06	-5.525683e+00	6	8.655703e+07	6.931846e-08	0
ZL200746T	28852344	33	10	43	1.143755e-06	3.465923e-07	1.490347e-06	-5.826713e+00	1	8.655703e+07	1.155308e-08	0
ZL200881T	28852344	52	51	103	1.802280e-06	1.767621e-06	3.569901e-06	-5.447344e+00	9	8.655703e+07	1.039777e-07	0
ZL200942T	28852344	94	51	145	3.257968e-06	1.767621e-06	5.025588e-06	-5.298813e+00	9	8.655703e+07	1.039777e-07	0
ZL200989T	28852344	64	34	98	2.218191e-06	1.178414e-06	3.396604e-06	-5.468955e+00	7	8.655703e+07	8.087154e-08	0
ZL200995T	28852344	68	37	105	2.356828e-06	1.282391e-06	3.639219e-06	-5.438992e+00	5	8.655703e+07	5.776538e-08	0
ZL201029T	28852344	100	86	186	3.465923e-06	2.980694e-06	6.446617e-06	-5.190668e+00	7	8.655703e+07	8.087154e-08	0
ZL201057T	28852344	49	30	79	1.698302e-06	1.039777e-06	2.738079e-06	-5.562554e+00	9	8.655703e+07	1.039777e-07	0
ZL201059T	28852344	123	83	206	4.263085e-06	2.876716e-06	7.139801e-06	-5.146314e+00	10	8.655703e+07	1.155308e-07	0
ZL201074T	28852344	118	46	164	4.089789e-06	1.594325e-06	5.684114e-06	-5.245337e+00	9	8.655703e+07	1.039777e-07	0
ZL201109T	28852344	39	15	54	1.351710e-06	5.198884e-07	1.871598e-06	-5.727787e+00	3	8.655703e+07	3.465923e-08	0
ZL201144T	28852344	55	31	86	1.906258e-06	1.074436e-06	2.980694e-06	-5.525683e+00	4	8.655703e+07	4.621231e-08	0
ZL201217T	28852344	26	19	45	9.011400e-07	6.585254e-07	1.559665e-06	-5.806969e+00	4	8.655703e+07	4.621231e-08	0
ZL201238T	28852344	63	58	121	2.183531e-06	2.010235e-06	4.193767e-06	-5.377396e+00	6	8.655703e+07	6.931846e-08	0
ZL201286T	28852344	47	34	81	1.628984e-06	1.178414e-06	2.807398e-06	-5.551696e+00	7	8.655703e+07	8.087154e-08	0
ZL201292T	28852344	53	22	75	1.836939e-06	7.625030e-07	2.599442e-06	-5.585120e+00	4	8.655703e+07	4.621231e-08	0
ZL201309T	28852344	216	95	311	7.486393e-06	3.292627e-06	1.077902e-05	-4.967421e+00	4	8.655703e+07	4.621231e-08	0
ZL201325T	28852344	21	14	35	7.278438e-07	4.852292e-07	1.213073e-06	-5.916113e+00	6	8.655703e+07	6.931846e-08	0
ZL201360T	28852344	32	16	48	1.109095e-06	5.545477e-07	1.663643e-06	-5.778940e+00	4	8.655703e+07	4.621231e-08	0
ZL201378T	28852344	74	29	103	2.564783e-06	1.005118e-06	3.569901e-06	-5.447344e+00	4	8.655703e+07	4.621231e-08	0
ZL201381T	28852344	250	124	374	8.664807e-06	4.297744e-06	1.296255e-05	-4.887309e+00	10	8.655703e+07	1.155308e-07	0
ZL201403T	28852344	99	74	173	3.431264e-06	2.564783e-06	5.996047e-06	-5.222135e+00	7	8.655703e+07	8.087154e-08	0
ZL201425T	28852344	74	27	101	2.564783e-06	9.357992e-07	3.500582e-06	-5.455860e+00	6	8.655703e+07	6.931846e-08	0
ZL201450T	28852344	34	24	58	1.178414e-06	8.318215e-07	2.010235e-06	-5.696753e+00	7	8.655703e+07	8.087154e-08	0
ZL201482T	28852344	53	34	87	1.836939e-06	1.178414e-06	3.015353e-06	-5.520662e+00	6	8.655703e+07	6.931846e-08	0
ZL201509T	28852344	51	33	84	1.767621e-06	1.143755e-06	2.911375e-06	-5.535902e+00	4	8.655703e+07	4.621231e-08	0
ZL201537T	28852344	45	34	79	1.559665e-06	1.178414e-06	2.738079e-06	-5.562554e+00	4	8.655703e+07	4.621231e-08	0
ZL201557T	28852344	73	27	100	2.530124e-06	9.357992e-07	3.465923e-06	-5.460181e+00	4	8.655703e+07	4.621231e-08	0
ZL201573T	28852344	48	27	75	1.663643e-06	9.357992e-07	2.599442e-06	-5.585120e+00	7	8.655703e+07	8.087154e-08	0
ZL201645K	28852344	142	68	210	4.921611e-06	2.356828e-06	7.278438e-06	-5.137962e+00	10	8.655703e+07	1.155308e-07	0
ZL201703T	28852344	63	39	102	2.183531e-06	1.351710e-06	3.535241e-06	-5.451581e+00	10	8.655703e+07	1.155308e-07	0
ZL201949T	28852344	154	79	233	5.337521e-06	2.738079e-06	8.075600e-06	-5.092825e+00	11	8.655703e+07	1.270838e-07	0
ZL202004T	28852344	63	36	99	2.183531e-06	1.247732e-06	3.431264e-06	-5.464546e+00	11	8.655703e+07	1.270838e-07	0
ZL202165T	28852344	88	40	128	3.050012e-06	1.386369e-06	4.436381e-06	-5.352971e+00	7	8.655703e+07	8.087154e-08	0
ZL202470	28852344	38	18	56	1.317051e-06	6.238661e-07	1.940917e-06	-5.711993e+00	5	8.655703e+07	5.776538e-08	0
ZL202543T	28852344	53	38	91	1.836939e-06	1.317051e-06	3.153990e-06	-5.501140e+00	5	8.655703e+07	5.776538e-08	0
ZL202690T	28852344	80	41	121	2.772738e-06	1.421028e-06	4.193767e-06	-5.377396e+00	6	8.655703e+07	6.931846e-08	0
ZL202883	28852344	57	22	79	1.975576e-06	7.625030e-07	2.738079e-06	-5.562554e+00	2	8.655703e+07	2.310615e-08	0
ZL203330	28852344	45	37	82	1.559665e-06	1.282391e-06	2.842057e-06	-5.546367e+00	6	8.655703e+07	6.931846e-08	0
ZL203405T	28852344	30	18	48	1.039777e-06	6.238661e-07	1.663643e-06	-5.778940e+00	5	8.655703e+07	5.776538e-08	0
ZL203684T	28852344	66	34	100	2.287509e-06	1.178414e-06	3.465923e-06	-5.460181e+00	9	8.655703e+07	1.039777e-07	0
ZL203719T	28852344	41	35	76	1.421028e-06	1.213073e-06	2.634101e-06	-5.579368e+00	8	8.655703e+07	9.242461e-08	0
ZL203817T	28852344	66	37	103	2.287509e-06	1.282391e-06	3.569901e-06	-5.447344e+00	8	8.655703e+07	9.242461e-08	0
ZL203846T	28852344	92	54	146	3.188649e-06	1.871598e-06	5.060247e-06	-5.295828e+00	9	8.655703e+07	1.039777e-07	0
ZL204186T	28852344	83	34	117	2.876716e-06	1.178414e-06	4.055130e-06	-5.391995e+00	7	8.655703e+07	8.087154e-08	0
ZL204195T	28852344	49	23	72	1.698302e-06	7.971623e-07	2.495464e-06	-5.602849e+00	1	8.655703e+07	1.155308e-08	0
ZL204255T	28852344	91	73	164	3.153990e-06	2.530124e-06	5.684114e-06	-5.245337e+00	16	8.655703e+07	1.848492e-07	0
ZL204283	28852344	68	48	116	2.356828e-06	1.663643e-06	4.020471e-06	-5.395723e+00	13	8.655703e+07	1.501900e-07	0
ZL204310T	28852344	42	26	68	1.455688e-06	9.011400e-07	2.356828e-06	-5.627672e+00	7	8.655703e+07	8.087154e-08	0
ZL204311T	28852344	38	29	67	1.317051e-06	1.005118e-06	2.322168e-06	-5.634106e+00	5	8.655703e+07	5.776538e-08	0
ZL204365	28852344	46	17	63	1.594325e-06	5.892069e-07	2.183531e-06	-5.660841e+00	6	8.655703e+07	6.931846e-08	0
ZL204405T	28852344	54	40	94	1.871598e-06	1.386369e-06	3.257968e-06	-5.487053e+00	9	8.655703e+07	1.039777e-07	0
ZL204460T	28852344	58	32	90	2.010235e-06	1.109095e-06	3.119331e-06	-5.505939e+00	10	8.655703e+07	1.155308e-07	0
ZL204484T	28852344	91	41	132	3.153990e-06	1.421028e-06	4.575018e-06	-5.339607e+00	5	8.655703e+07	5.776538e-08	0
ZL204527	28852344	105	50	155	3.639219e-06	1.732961e-06	5.372181e-06	-5.269849e+00	7	8.655703e+07	8.087154e-08	0
ZL204697T	28852344	126	65	191	4.367063e-06	2.252850e-06	6.619913e-06	-5.179148e+00	16	8.655703e+07	1.848492e-07	0
ZL205085	28852344	55	25	80	1.906258e-06	8.664807e-07	2.772738e-06	-5.557091e+00	3	8.655703e+07	3.465923e-08	0
ZL205563	28852344	75	52	127	2.599442e-06	1.802280e-06	4.401722e-06	-5.356377e+00	9	8.655703e+07	1.039777e-07	0
ZL206293	28852344	106	47	153	3.673878e-06	1.628984e-06	5.302862e-06	-5.275490e+00	11	8.655703e+07	1.270838e-07	0
ZL206427	28852344	95	37	132	3.292627e-06	1.282391e-06	4.575018e-06	-5.339607e+00	7	8.655703e+07	8.087154e-08	0
ZL206489	28852344	66	37	103	2.287509e-06	1.282391e-06	3.569901e-06	-5.447344e+00	10	8.655703e+07	1.155308e-07	0
ZL206535	28852344	76	44	120	2.634101e-06	1.525006e-06	4.159107e-06	-5.381000e+00	6	8.655703e+07	6.931846e-08	0
ZL206558	28852344	85	49	134	2.946034e-06	1.698302e-06	4.644337e-06	-5.333076e+00	6	8.655703e+07	6.931846e-08	0
ZL206640	28852344	46	28	74	1.594325e-06	9.704584e-07	2.564783e-06	-5.590949e+00	8	8.655703e+07	9.242461e-08	0
ZL206724	28852344	45	28	73	1.559665e-06	9.704584e-07	2.530124e-06	-5.596858e+00	2	8.655703e+07	2.310615e-08	0
ZL206735	28852344	85	52	137	2.946034e-06	1.802280e-06	4.748314e-06	-5.323461e+00	15	8.655703e+07	1.732961e-07	0
ZL206748	28852344	302	128	430	1.046709e-05	4.436381e-06	1.490347e-05	-4.826713e+00	11	8.655703e+07	1.270838e-07	0
ZL206763	28852344	10	7	17	3.465923e-07	2.426146e-07	5.892069e-07	-6.229732e+00	0	8.655703e+07	0	0
ZL206773	28852344	80	31	111	2.772738e-06	1.074436e-06	3.847174e-06	-5.414858e+00	3	8.655703e+07	3.465923e-08	0
ZL206777	28852344	97	50	147	3.361945e-06	1.732961e-06	5.094907e-06	-5.292864e+00	9	8.655703e+07	1.039777e-07	0
ZL206783	28852344	50	40	90	1.732961e-06	1.386369e-06	3.119331e-06	-5.505939e+00	9	8.655703e+07	1.039777e-07	0
ZL206797	28852344	90	33	123	3.119331e-06	1.143755e-06	4.263085e-06	-5.370276e+00	4	8.655703e+07	4.621231e-08	0
ZL206838	28852344	223	105	328	7.729008e-06	3.639219e-06	1.136823e-05	-4.944307e+00	11	8.655703e+07	1.270838e-07	0
ZL206853	28852344	402	180	582	1.393301e-05	6.238661e-06	2.017167e-05	-4.695258e+00	14	8.655703e+07	1.617431e-07	0
ZL206871	28852344	35	14	49	1.213073e-06	4.852292e-07	1.698302e-06	-5.769985e+00	1	8.655703e+07	1.155308e-08	0
ZL206878	28852344	44	32	76	1.525006e-06	1.109095e-06	2.634101e-06	-5.579368e+00	8	8.655703e+07	9.242461e-08	0
ZL206884	28852344	211	109	320	7.313097e-06	3.777856e-06	1.109095e-05	-4.955031e+00	14	8.655703e+07	1.617431e-07	0
ZL206888	28852344	101	51	152	3.500582e-06	1.767621e-06	5.268203e-06	-5.278338e+00	10	8.655703e+07	1.155308e-07	0
ZL206915	28852344	98	48	146	3.396604e-06	1.663643e-06	5.060247e-06	-5.295828e+00	7	8.655703e+07	8.087154e-08	0
ZL206918	28852344	77	46	123	2.668761e-06	1.594325e-06	4.263085e-06	-5.370276e+00	3	8.655703e+07	3.465923e-08	0
ZL206920	28852344	161	65	226	5.580136e-06	2.252850e-06	7.832986e-06	-5.106073e+00	6	8.655703e+07	6.931846e-08	0
ZL206924	28852344	51	27	78	1.767621e-06	9.357992e-07	2.703420e-06	-5.568086e+00	3	8.655703e+07	3.465923e-08	0
ZL206939	28852344	97	67	164	3.361945e-06	2.322168e-06	5.684114e-06	-5.245337e+00	12	8.655703e+07	1.386369e-07	0
ZL206956	28852344	51	30	81	1.767621e-06	1.039777e-06	2.807398e-06	-5.551696e+00	10	8.655703e+07	1.155308e-07	0
ZL206962	28852344	64	35	99	2.218191e-06	1.213073e-06	3.431264e-06	-5.464546e+00	4	8.655703e+07	4.621231e-08	0
ZL206990	28852344	65	38	103	2.252850e-06	1.317051e-06	3.569901e-06	-5.447344e+00	1	8.655703e+07	1.155308e-08	0
