chromosome	start	end	germlineStatus	bafCount	observedBAF	minorAllelePloidy	minorAllelePloidyDeviation	observedTumorRatio	observedNormalRatio	majorAllelePloidy	majorAllelePloidyDeviation	deviationPenalty	tumorCopyNumber	fittedTumorCopyNumber	fittedBAF	refNormalisedCopyNumber	ratioSupport	support	depthWindowCount	tumorBAF	gcContent	svCluster	eventPenalty	minStart	maxStart
chr1	5307001	5727000	DIPLOID	196	0.5359	1.0000	0.2000	0.9634	1.0352	1.0337	0.2118	0.2207	2.0337	0.0000	0.0000	2.0203	true	NONE	411	0.5083	0.4718	false	1.0101	5306001	5307001
chr1	5727001	5730000	NOISE	0	0.0000	3.2763	0.9726	3.0200	3.6191	3.9116	0.5193	0.0000	7.1880	0.0000	0.0000	6.1902	true	NONE	3	0.5442	0.5300	false	2.2564	5727001	5727001
chr1	5730001	5736000	NOISE	2	0.7108	3.7163	0.9764	5.3910	6.6426	9.4139	0.9990	1.4043	13.1302	0.0000	0.0000	10.9807	true	NONE	6	0.7170	0.4465	false	4.0391	5730001	5730001
chr1	5736001	6166000	DIPLOID	65	0.5422	0.9703	0.2000	0.9381	1.0081	1.0000	0.2000	0.2169	1.9703	0.0000	0.0000	1.9672	true	NONE	370	0.5075	0.5233	false	1.0089	5727001	5736001
chr1	6166001	6169000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3993	0.5000	0.6198	2.5655	0.0000	0.6198	0.0000	0.0000	0.8103	true	NONE	2	1.0000	0.5763	false	1.4141	6166001	6167001
chr1	6169001	6802000	DIPLOID	24	0.5451	0.8422	0.7920	0.9057	0.9770	1.0467	0.2909	0.5902	1.8890	0.0000	0.0000	1.8977	true	NONE	488	0.5541	0.5343	false	1.0614	6166001	6170001
chr1	6802001	6803000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3805	0.5125	0.5727	2.6397	0.0000	0.5727	0.0000	0.0000	0.7584	true	NONE	1	1.0000	0.3510	false	1.4282	6802001	6802001
chr1	6803001	7940000	DIPLOID	187	0.5361	0.9985	0.2000	0.9494	1.0090	1.0000	0.2000	0.2144	1.9985	0.0000	0.0000	1.9951	true	NONE	1068	0.5004	0.4751	false	1.0004	6802001	6803001
chr1	7940001	8418000	DIPLOID	56	0.5464	0.8261	0.8348	0.8942	0.9774	1.0340	0.2141	0.5732	1.8601	0.0000	0.0000	1.8687	true	NONE	463	0.5559	0.4603	false	1.0624	7940001	7940001
chr1	8418001	8502000	DIPLOID	0	0.0000	0.4634	0.9998	0.5576	0.9982	0.5532	2.6695	0.0000	1.0166	0.0000	0.0000	1.0173	true	NONE	76	0.5442	0.4565	false	1.2950	8418001	8422001
chr1	8502001	9595000	DIPLOID	174	0.5423	0.9399	0.3683	0.9260	0.9875	1.0000	0.2000	0.3082	1.9399	0.0000	0.0000	1.9447	true	NONE	1014	0.5155	0.4692	false	1.0180	8502001	8502001
chr1	9595001	9598000	HET_DELETION	0	0.0000	0.4629	0.9998	0.5572	0.6214	0.5526	2.6704	0.0000	1.0155	0.0000	0.0000	1.1597	true	NONE	3	0.5442	0.4463	false	1.2954	9595001	9595001
chr1	9598001	9828000	DIPLOID	5	0.5373	0.8428	0.7903	0.8873	0.9878	1.0000	0.2000	0.5321	1.8428	0.0000	0.0000	1.8474	true	NONE	197	0.5427	0.5069	false	1.0472	9595001	9598001
chr1	9828001	9829000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2114	0.2789	0.1489	2.8070	0.0000	0.1489	0.0000	0.0000	0.4236	true	NONE	1	1.0000	0.6020	false	1.5553	9828001	9828001
chr1	9829001	10247000	DIPLOID	3	0.5269	0.8505	0.7670	0.8904	0.9704	1.0000	0.2000	0.5095	1.8505	0.0000	0.0000	1.8618	true	NONE	388	0.5404	0.4655	false	1.0448	9828001	9829001
chr1	10247001	10249000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4217	0.5150	0.6759	2.4667	0.0000	0.6759	0.0000	0.0000	0.8607	true	NONE	2	1.0000	0.3000	false	1.3972	10247001	10247001
chr1	10249001	12183000	DIPLOID	263	0.5402	0.8942	0.6013	0.9078	0.9885	1.0000	0.2000	0.4329	1.8942	0.0000	0.0000	1.8986	true	NONE	1758	0.5279	0.4964	false	1.0317	10247001	10249001
chr1	12183001	15850000	DIPLOID	621	0.5395	0.9602	0.2491	0.9341	1.0066	1.0000	0.2000	0.2423	1.9602	0.0000	0.0000	1.9577	true	NONE	2637	0.5101	0.4598	false	1.0119	12183001	12183001
chr1	15850001	15851000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4483	0.4738	0.7426	2.3061	0.0000	0.7426	0.0000	0.0000	0.9431	true	NONE	1	1.0000	0.5660	false	1.3772	15850001	15850001
chr1	15851001	16850000	DIPLOID	54	0.5436	0.8708	0.6977	0.8984	0.9765	1.0000	0.2000	0.4880	1.8708	0.0000	0.0000	1.8797	true	NONE	851	0.5345	0.4903	false	1.0388	15850001	15852001
chr1	16850001	16968000	NOISE	0	0.0000	4.0000	0.2000	3.4192	3.5865	4.1885	0.8675	0.0000	8.1885	0.0000	0.0000	7.2032	true	NONE	14	0.5115	0.4806	false	2.5566	16850001	16931001
chr1	16968001	17005000	DIPLOID	0	0.0000	1.0000	0.2000	0.9876	1.0615	1.0942	0.5479	0.0000	2.0942	0.0000	0.0000	2.0708	true	NONE	1	0.5225	0.5000	false	1.0283	16850001	17004001
chr1	17005001	17055000	NOISE	0	0.0000	3.3594	0.9959	3.0884	3.3493	4.0000	0.2000	0.0000	7.3594	0.0000	0.0000	6.4644	true	NONE	17	0.5435	0.5552	false	2.3078	17005001	17014001
chr1	17055001	17275000	AMPLIFICATION	0	0.0000	2.0838	0.4964	1.9761	2.1610	2.4879	0.9999	0.0000	4.5717	0.0000	0.0000	4.1294	true	NONE	32	0.5442	0.5050	false	1.4715	17055001	17207001
chr1	17275001	17676000	DIPLOID	98	0.5329	0.9321	0.4123	0.9229	0.9925	1.0000	0.2000	0.3263	1.9321	0.0000	0.0000	1.9349	true	NONE	369	0.5176	0.5031	false	1.0204	17005001	17276001
chr1	17676001	17677000	HOM_DELETION	0	0.0000	0.0000	0.2000	0.0806	0.0663	-0.1789	2.3467	0.0000	-0.1789	0.0000	0.0000	0.1767	true	NONE	1	1.0000	0.4860	false	1.6537	17676001	17676001
chr1	17677001	17678000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3713	0.4031	0.5496	2.6749	0.0000	0.5496	0.0000	0.0000	0.7770	true	NONE	1	1.0000	0.4870	false	1.4351	17677001	17677001
chr1	17678001	17841000	DIPLOID	4	0.5224	0.8163	0.8573	0.8767	0.9811	1.0000	0.2000	0.5523	1.8163	0.0000	0.0000	1.8235	true	NONE	152	0.5506	0.5033	false	1.0551	17676001	17678001
chr1	17841001	21039000	DIPLOID	490	0.5393	0.9849	0.2000	0.9440	1.0036	1.0000	0.2000	0.2157	1.9849	0.0000	0.0000	1.9835	true	NONE	3070	0.5038	0.4879	false	1.0045	17841001	17841001
chr1	21039001	21040000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3509	0.4876	0.4985	2.7521	0.0000	0.4985	0.0000	0.0000	0.6937	true	NONE	1	1.0000	0.3100	false	1.4505	21039001	21039001
chr1	21040001	21506000	DIPLOID	38	0.5305	0.9202	0.4756	0.9182	0.9837	1.0000	0.2000	0.3584	1.9202	0.0000	0.0000	1.9264	true	NONE	436	0.5208	0.4041	false	1.0239	21039001	21040001
chr1	21506001	21507000	HET_DELETION	1	0.5000	0.0000	0.2000	0.3784	0.3989	0.5674	2.6478	1.4239	0.5674	0.0000	0.0000	0.7964	true	NONE	1	1.0000	0.2480	false	1.4298	21506001	21506001
chr1	21507001	22399000	DIPLOID	147	0.5391	0.8694	0.7028	0.8979	0.9881	1.0000	0.2000	0.4867	1.8694	0.0000	0.0000	1.8739	true	NONE	717	0.5349	0.5017	false	1.0392	21506001	21507001
chr1	22399001	22926000	DIPLOID	50	0.5367	0.9833	0.2000	0.9433	1.0158	1.0000	0.2000	0.2147	1.9833	0.0000	0.0000	1.9773	true	NONE	505	0.5042	0.4895	false	1.0050	22399001	22399001
chr1	22926001	22927000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2913	0.3541	0.3491	2.9656	0.0000	0.3491	0.0000	0.0000	0.5952	true	NONE	1	1.0000	0.5800	false	1.4953	22926001	22926001
chr1	22927001	23942000	DIPLOID	44	0.5355	0.9410	0.3621	0.9265	0.9980	1.0000	0.2000	0.3010	1.9410	0.0000	0.0000	1.9418	true	NONE	971	0.5152	0.4757	false	1.0177	22926001	22929001
chr1	23942001	24379000	DIPLOID	139	0.5392	0.8259	0.8353	0.8805	0.9773	1.0000	0.2000	0.5582	1.8259	0.0000	0.0000	1.8345	true	NONE	402	0.5477	0.4623	false	1.0522	23942001	23942001
chr1	24379001	24520000	DIPLOID	12	0.5288	1.0000	0.2000	0.9510	1.0312	1.0026	0.2000	0.2115	2.0026	0.0000	0.0000	1.9907	true	NONE	136	0.5006	0.5004	false	1.0008	24379001	24379001
chr1	24520001	24524000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5314	0.5468	0.9509	0.6827	0.0000	0.9509	0.0000	0.0000	1.1236	true	NONE	4	1.0000	0.4715	false	1.3147	24520001	24520001
chr1	24524001	26455000	DIPLOID	364	0.5348	0.9441	0.3443	0.9277	0.9978	1.0000	0.2000	0.2911	1.9441	0.0000	0.0000	1.9450	true	NONE	1685	0.5144	0.4734	false	1.0168	24520001	24524001
chr1	26455001	26456000	NOISE	0	0.0000	11.3103	0.9867	9.4528	14.0066	12.0000	0.2000	0.0000	23.3103	0.0000	0.0000	18.3554	true	NONE	1	0.5148	0.4450	false	7.0931	26455001	26455001
chr1	26456001	28624000	DIPLOID	80	0.5452	0.8343	0.8138	0.8990	0.9855	1.0378	0.2370	0.5729	1.8721	0.0000	0.0000	1.8776	true	NONE	1993	0.5543	0.4794	false	1.0610	26455001	26456001
chr1	28624001	29517000	DIPLOID	10	0.5345	0.8078	0.8749	0.8733	0.9720	1.0000	0.2000	0.5745	1.8078	0.0000	0.0000	1.8185	true	NONE	836	0.5532	0.4523	false	1.0577	28624001	28624001
chr1	29517001	29617000	DIPLOID	0	0.0000	0.4586	0.9997	0.5535	1.0065	0.5476	2.6780	0.0000	1.0062	0.0000	0.0000	1.0038	true	NONE	94	0.5442	0.5005	false	1.2981	29517001	29517001
chr1	29617001	29876000	DIPLOID	25	0.5312	1.0000	0.2000	0.9649	1.0276	1.0374	0.2344	0.2308	2.0374	0.0000	0.0000	2.0269	true	NONE	247	0.5092	0.4898	false	1.0112	29617001	29617001
chr1	29876001	30039000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4814	0.4982	0.8255	1.9341	0.0000	0.8255	0.0000	0.0000	1.0167	true	NONE	11	1.0000	0.5058	false	1.3523	29876001	30028001
chr1	30039001	31249000	DIPLOID	273	0.5366	1.0000	0.2000	0.9678	1.0261	1.0447	0.2788	0.2569	2.0447	0.0000	0.0000	2.0348	true	NONE	1136	0.5109	0.4816	false	1.0134	29876001	30039001
chr1	31249001	31511000	DIPLOID	26	0.5469	0.8573	0.7450	0.9227	0.9874	1.0743	0.4466	0.6517	1.9316	0.0000	0.0000	1.9364	true	NONE	252	0.5561	0.4677	false	1.0651	31249001	31249001
chr1	31511001	31590000	DIPLOID	7	0.5422	0.7694	0.9343	0.8255	0.9571	0.9186	1.0904	1.0978	1.6880	0.0000	0.0000	1.7043	true	NONE	77	0.5442	0.4524	false	1.0936	31511001	31511001
chr1	31590001	31591000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2326	0.2851	0.2020	2.9831	0.0000	0.2020	0.0000	0.0000	0.4743	true	NONE	1	1.0000	0.3260	false	1.5394	31590001	31590001
chr1	31591001	31727000	DIPLOID	3	0.5432	0.8149	0.8604	0.8653	0.9868	0.9729	0.3837	0.6758	1.7877	0.0000	0.0000	1.7927	true	NONE	127	0.5442	0.4898	false	1.0637	31590001	31591001
chr1	31727001	32268000	DIPLOID	67	0.5435	1.0000	0.2000	0.9537	1.0090	1.0092	0.2000	0.2174	2.0092	0.0000	0.0000	2.0058	true	NONE	497	0.5023	0.4872	false	1.0028	31727001	31728001
chr1	32268001	33313000	DIPLOID	21	0.5377	0.8433	0.7890	0.8875	0.9830	1.0000	0.2000	0.5318	1.8433	0.0000	0.0000	1.8497	true	NONE	982	0.5425	0.4657	false	1.0470	32268001	32268001
chr1	33313001	35389000	DIPLOID	237	0.5362	1.0000	0.2000	0.9636	1.0140	1.0341	0.2144	0.2222	2.0341	0.0000	0.0000	2.0287	true	NONE	1961	0.5084	0.4569	false	1.0102	33313001	33313001
chr1	35389001	36868000	DIPLOID	4	0.5209	0.8851	0.6407	0.9042	0.9787	1.0000	0.2000	0.4379	1.8851	0.0000	0.0000	1.8932	true	NONE	1385	0.5305	0.4392	false	1.0345	35389001	35389001
chr1	36868001	36870000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4797	0.6068	0.8212	1.9611	0.0000	0.8212	0.0000	0.0000	0.9710	true	NONE	2	1.0000	0.3250	false	1.3536	36868001	36868001
chr1	36870001	37893000	DIPLOID	54	0.5264	1.0000	0.2000	0.9547	1.0116	1.0118	0.2000	0.2105	2.0118	0.0000	0.0000	2.0074	true	NONE	981	0.5029	0.4814	false	1.0035	36868001	36870001
chr1	37893001	38475000	DIPLOID	2	0.5621	0.8056	0.8792	0.9076	0.9839	1.0881	0.5180	0.7854	1.8937	0.0000	0.0000	1.8998	true	NONE	542	0.5746	0.4767	false	1.0848	37893001	37893001
chr1	38475001	39319000	DIPLOID	84	0.5316	1.0000	0.2000	0.9552	1.0091	1.0131	0.2000	0.2127	2.0131	0.0000	0.0000	2.0096	true	NONE	815	0.5032	0.4552	false	1.0039	38475001	38475001
chr1	39319001	39537000	DIPLOID	54	0.5366	0.8120	0.8664	0.8628	0.9629	0.9695	0.4309	0.6961	1.7815	0.0000	0.0000	1.7956	true	NONE	206	0.5442	0.4488	false	1.0656	39319001	39319001
chr1	39537001	41022000	DIPLOID	113	0.5417	0.9237	0.4575	0.9196	0.9932	1.0000	0.2000	0.3561	1.9237	0.0000	0.0000	1.9263	true	NONE	1348	0.5198	0.4405	false	1.0229	39537001	39537001
chr1	41022001	41028000	HET_DELETION	0	0.0000	0.0000	0.2000	0.4366	0.5227	0.7133	2.3857	0.0000	0.7133	0.0000	0.0000	0.8952	true	NONE	5	1.0000	0.4552	false	1.3860	41022001	41022001
chr1	41028001	41992000	DIPLOID	182	0.5396	1.0000	0.2000	0.9531	1.0023	1.0079	0.2000	0.2159	2.0079	0.0000	0.0000	2.0070	true	NONE	898	0.5020	0.4667	false	1.0024	41022001	41028001
chr1	41992001	41996000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2831	0.3836	0.3286	2.9897	0.0000	0.3286	0.0000	0.0000	0.5634	true	NONE	4	1.0000	0.5770	false	1.5014	41992001	41992001
chr1	41996001	42687000	DIPLOID	161	0.5309	1.0000	0.2000	0.9752	1.0117	1.0631	0.3855	0.3109	2.0631	0.0000	0.0000	2.0586	true	NONE	655	0.5153	0.4507	false	1.0189	41992001	41996001
chr1	42687001	43619000	DIPLOID	36	0.5467	0.8740	0.6854	0.9371	1.0032	1.0936	0.5448	0.6726	1.9676	0.0000	0.0000	1.9664	true	NONE	866	0.5558	0.4302	false	1.0659	42687001	42687001
chr1	43619001	43620000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2996	0.4080	0.3699	2.9388	0.0000	0.3699	0.0000	0.0000	0.5954	true	NONE	1	1.0000	0.2980	false	1.4890	43619001	43619001
chr1	43620001	45260000	DIPLOID	204	0.5406	0.9776	0.2000	0.9411	0.9965	1.0000	0.2000	0.2162	1.9776	0.0000	0.0000	1.9789	true	NONE	1557	0.5057	0.4743	false	1.0067	43619001	43620001
chr1	45260001	45264000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5054	0.5057	0.8857	1.4479	0.0000	0.8857	0.0000	0.0000	1.0740	true	NONE	3	1.0000	0.3030	false	1.3343	45260001	45260001
chr1	45264001	46866000	DIPLOID	22	0.5505	0.8459	0.7812	0.9200	0.9809	1.0788	0.4704	0.6890	1.9247	0.0000	0.0000	1.9320	true	NONE	1453	0.5605	0.4363	false	1.0699	45260001	45264001
chr1	46866001	46867000	HET_DELETION	0	0.0000	0.0000	0.2000	0.3968	0.3874	0.6135	2.5756	0.0000	0.6135	0.0000	0.0000	0.8469	true	NONE	1	1.0000	0.6020	false	1.4159	46866001	46866001
chr1	46867001	47715000	DIPLOID	19	0.5446	0.9076	0.5390	0.9621	1.0146	1.1227	0.6725	0.6598	2.0303	0.0000	0.0000	2.0248	true	NONE	614	0.5530	0.4630	false	1.0645	46866001	46867001
chr1	47715001	47837000	DIPLOID	0	0.0000	0.8160	0.8580	0.8766	0.9690	1.0000	0.2000	0.0000	1.8160	0.0000	0.0000	1.8278	true	NONE	115	0.5507	0.4191	false	1.0552	47715001	47715001
chr1	47837001	48444000	DIPLOID	107	0.5364	1.0000	0.2000	0.9754	1.0100	1.0636	0.3883	0.3155	2.0636	0.0000	0.0000	2.0598	true	NONE	584	0.5154	0.4793	false	1.0191	47837001	47837001
chr1	48444001	48460000	DIPLOID	0	0.0000	0.4954	0.9999	0.5857	1.0141	0.5915	2.6105	0.0000	1.0870	0.0000	0.0000	1.0816	true	NONE	16	0.5442	0.4824	false	1.2739	48444001	48444001
chr1	48460001	50413000	DIPLOID	82	0.5404	1.0000	0.2000	0.9629	1.0119	1.0323	0.2034	0.2180	2.0323	0.0000	0.0000	2.0278	true	NONE	1757	0.5079	0.3953	false	1.0097	48460001	48460001
chr1	50413001	50415000	HET_DELETION	0	0.0000	0.0000	0.2000	0.5325	0.5455	0.9536	0.6468	0.0000	0.9536	0.0000	0.0000	1.1268	true	NONE	2	1.0000	0.2600	false	1.3139	50413001	50413001
chr1	50415001	51262000	DIPLOID	2	0.5633	0.8378	0.8046	0.9395	1.0037	1.1358	0.7217	0.8597	1.9736	0.0000	0.0000	1.9722	true	NONE	817	0.5755	0.4022	false	1.0894	50413001	50415001
chr1	51262001	51352000	DIPLOID	0	0.0000	0.4632	0.9998	0.5575	0.9935	0.5530	2.6697	0.0000	1.0163	0.0000	0.0000	1.0188	true	NONE	84	0.5442	0.3629	false	1.2951	51262001	51262001
chr1	51352001	51443000	DIPLOID	0	0.0000	0.0000	0.2000	0.1656	1.0089	0.0342	1.8789	0.0000	0.0342	0.0000	0.0000	0.0308	true	NONE	76	1.0000	0.4015	false	1.5897	51352001	51357001
chr1	51443001	51448000	DIPLOID	0	0.0000	0.0000	0.2000	0.5403	0.9603	0.9733	0.3774	0.0000	0.9733	0.0000	0.0000	0.9884	true	NONE	4	1.0000	0.4090	false	1.3080	51443001	51444001
chr1	51448001	53640000	DIPLOID	115	0.5352	0.9162	0.4963	0.9166	0.9807	1.0000	0.2000	0.3727	1.9162	0.0000	0.0000	1.9236	true	NONE	2084	0.5219	0.4212	false	1.0251	51448001	51448001
chr1	53640001	54924000	DIPLOID	230	0.5359	1.0000	0.2000	0.9528	1.0045	1.0071	0.2000	0.2144	2.0071	0.0000	0.0000	2.0053	true	NONE	1220	0.5018	0.4773	false	1.0021	53640001	53640001
chr1	54924001	54925000	HET_DELETION	0	0.0000	0.0000	0.2000	0.1671	0.0984	0.0378	1.9179	0.0000	0.0378	0.0000	0.0000	0.3813	true	NONE	1	1.0000	0.5780	false	1.5886	54924001	54924001
chr1	54925001	55165000	DIPLOID	14	0.5395	0.9088	0.5332	0.9136	0.9882	1.0000	0.2000	0.3956	1.9088	0.0000	0.0000	1.9133	true	NONE	221	0.5239	0.4989	false	1.0274	54924001	54925001
chr1	55165001	58744000	DIPLOID	660	0.5365	1.0000	0.2000	0.9706	1.0083	1.0517	0.3202	0.2791	2.0517	0.0000	0.0000	2.0485	true	NONE	3402	0.5126	0.4138	false	1.0155	55165001	55165001
chr1	58744001	58745000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2555	0.2600	0.2594	3.0340	0.0000	0.2594	0.0000	0.0000	0.5413	true	NONE	1	1.0000	0.4140	false	1.5222	58744001	58744001
chr1	58745001	59999000	DIPLOID	160	0.5324	1.0000	0.2000	0.9759	1.0030	1.0649	0.3957	0.3172	2.0649	0.0000	0.0000	2.0638	true	NONE	1179	0.5157	0.4137	false	1.0195	58744001	58745001
chr1	59999001	60187000	DIPLOID	0	0.0000	0.4730	0.9998	0.5661	1.0009	0.5648	2.6518	0.0000	1.0378	0.0000	0.0000	1.0374	true	NONE	157	0.5442	0.4085	false	1.2887	59999001	60005001
chr1	60187001	60229000	DIPLOID	2	0.5356	1.0000	0.2000	0.9688	0.9768	1.0472	0.2938	0.2645	2.0472	0.0000	0.0000	2.0561	true	NONE	41	0.5115	0.4111	false	1.0142	60187001	60187001
chr1	60229001	60257000	DIPLOID	1	0.8800	-0.0161	0.2000	0.5798	1.0044	1.0883	0.5189	0.6326	1.0722	0.0000	0.0000	1.0705	true	NONE	28	1.0150	0.3897	false	1.3313	60229001	60229001
chr1	60257001	62155000	DIPLOID	152	0.5385	1.0000	0.2000	0.9640	0.9959	1.0351	0.2205	0.2264	2.0351	0.0000	0.0000	2.0367	true	NONE	1798	0.5086	0.3900	false	1.0105	60257001	60257001
chr1	62155001	62738000	DIPLOID	84	0.5427	0.8743	0.6843	0.8998	0.9742	1.0000	0.2000	0.4800	1.8743	0.0000	0.0000	1.8841	true	NONE	555	0.5335	0.4155	false	1.0377	62155001	62155001
chr1	62738001	68008000	DIPLOID	592	0.5347	1.0000	0.2000	0.9525	0.9963	1.0061	0.2000	0.2139	2.0061	0.0000	0.0000	2.0075	true	NONE	4955	0.5015	0.3953	false	1.0018	62738001	62738001
chr1	68008001	68009000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2517	0.1726	0.2499	3.0329	0.0000	0.2499	0.0000	0.0000	0.5651	true	NONE	1	1.0000	0.4620	false	1.5250	68008001	68008001
chr1	68009001	68626000	DIPLOID	53	0.5446	0.9197	0.4785	0.9727	1.0071	1.1371	0.7261	0.6560	2.0568	0.0000	0.0000	2.0541	true	NONE	594	0.5529	0.4112	false	1.0652	68008001	68009001
chr1	68626001	68629000	NOISE	0	0.0000	4.0000	0.2000	3.4804	4.4821	4.3419	0.9936	0.0000	8.3419	0.0000	0.0000	7.0153	true	NONE	1	0.5205	0.5230	false	2.6026	68626001	68628001
chr1	68629001	72766000	DIPLOID	467	0.5366	1.0000	0.2000	0.9540	0.9968	1.0100	0.2000	0.2146	2.0100	0.0000	0.0000	2.0113	true	NONE	3915	0.5025	0.3657	false	1.0030	68626001	68629001
chr1	72766001	72767000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2535	0.2723	0.2544	3.0337	0.0000	0.2544	0.0000	0.0000	0.5316	true	NONE	1	1.0000	0.2980	false	1.5237	72766001	72766001
chr1	72767001	72794000	HOM_DELETION	0	0.0000	0.0000	0.2000	0.0007	0.0063	-0.3791	2.4975	0.0000	-0.3791	0.0000	0.0000	-0.0006	true	NONE	4	1.0000	0.3705	false	1.7137	72767001	72776001
chr1	72794001	72812000	HET_DELETION	0	0.0000	0.0000	0.2000	0.2085	0.2871	0.1416	2.7706	0.0000	0.1416	0.0000	0.0000	0.4132	true	NONE	1	1.0000	0.3351	false	1.5575	72794001	72811001
