purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.7800	0.9600	0.3861	0.7429	2.0907	0.0000
0.7700	0.9500	0.3880	0.7495	2.1202	0.0000
0.8200	0.9700	0.3883	0.7434	2.0602	0.0000
0.8600	0.9700	0.3889	0.7469	2.0574	0.0000
0.9300	0.9400	0.3903	0.7559	2.1234	0.0000
0.9100	0.9600	0.3908	0.7543	2.0777	0.0000
0.9400	0.9500	0.3912	0.7555	2.0984	0.0000
0.8500	0.9300	0.3921	0.7556	2.1618	0.0000
0.7800	0.9400	0.3925	0.7521	2.1472	0.0000
0.8600	0.9300	0.3932	0.7556	2.1599	0.0000
0.8400	0.9300	0.3942	0.7554	2.1637	0.0000
0.8100	0.9700	0.3944	0.7416	2.0610	0.0000
0.8700	0.9300	0.3947	0.7557	2.1581	0.0000
0.7700	0.9600	0.3959	0.7411	2.0919	0.0000
0.9400	0.9400	0.3963	0.7559	2.1221	0.0000
0.9500	0.9500	0.3965	0.7556	2.0974	0.0000
0.8700	0.9700	0.3971	0.7485	2.0568	0.0000
0.8800	0.9300	0.3971	0.7558	2.1563	0.0000
0.9200	0.9600	0.3980	0.7547	2.0769	0.0000
0.7600	0.9500	0.3980	0.7489	2.1217	0.0000
0.8300	0.9300	0.3985	0.7550	2.1657	0.0000
0.8900	0.9300	0.4005	0.7559	2.1545	0.0000
0.8000	0.9700	0.4011	0.7407	2.0617	0.0000
0.9600	0.9500	0.4014	0.7560	2.0964	0.0000
0.9500	0.9400	0.4021	0.7562	2.1208	0.0000
0.7700	0.9400	0.4029	0.7518	2.1491	0.0000
0.8200	0.9300	0.4034	0.7548	2.1677	0.0000
0.9300	0.9600	0.4038	0.7551	2.0761	0.0000
0.9000	0.9300	0.4040	0.7560	2.1528	0.0000
0.8800	0.9700	0.4048	0.7489	2.0561	0.0000
0.9700	0.9500	0.4057	0.7561	2.0954	0.0000
0.7600	0.9600	0.4060	0.7395	2.0931	0.0000
0.9600	0.9400	0.4075	0.7562	2.1196	0.0000
0.7500	0.9500	0.4081	0.7476	2.1234	0.0000
0.7900	0.9700	0.4082	0.7397	2.0625	0.0000
0.9100	0.9300	0.4084	0.7563	2.1511	0.0000
0.9400	0.9600	0.4090	0.7553	2.0752	0.0000
0.8100	0.9300	0.4090	0.7546	2.1698	0.0000
0.9800	0.9500	0.4095	0.7564	2.0944	0.0000
0.8900	0.9700	0.4119	0.7503	2.0555	0.0000
0.9700	0.9400	0.4124	0.7564	2.1183	0.0000
0.9900	0.9500	0.4128	0.7568	2.0935	0.0000
0.7600	0.9400	0.4133	0.7505	2.1510	0.0000
0.9200	0.9300	0.4137	0.7563	2.1495	0.0000
0.9500	0.9600	0.4138	0.7554	2.0745	0.0000
1.0000	0.9500	0.4157	0.7570	2.0925	0.0000
0.7500	0.9600	0.4160	0.7389	2.0943	0.0000
0.8000	0.9300	0.4160	0.7542	2.1719	0.0000
0.7800	0.9700	0.4162	0.7377	2.0633	0.0000
0.9800	0.9400	0.4170	0.7564	2.1171	0.0000
0.9600	0.9600	0.4179	0.7558	2.0737	0.0000
0.7400	0.9500	0.4179	0.7461	2.1250	0.0000
0.9300	0.9300	0.4194	0.7564	2.1479	0.0000
0.9900	0.9400	0.4210	0.7566	2.1159	0.0000
0.9000	0.9700	0.4211	0.7513	2.0549	0.0000
0.9700	0.9600	0.4215	0.7563	2.0729	0.0000
0.7500	0.9400	0.4227	0.7495	2.1531	0.0000
0.7900	0.9300	0.4242	0.7534	2.1741	0.0000
1.0000	0.9400	0.4246	0.7568	2.1148	0.0000
0.9800	0.9600	0.4246	0.7563	2.0722	0.0000
0.7700	0.9700	0.4249	0.7367	2.0641	0.0000
0.9400	0.9300	0.4253	0.7564	2.1463	0.0000
0.7400	0.9600	0.4257	0.7368	2.0956	0.0000
0.7300	0.9500	0.4272	0.7439	2.1267	0.0000
0.9900	0.9600	0.4273	0.7564	2.0714	0.0000
1.0000	0.9600	0.4296	0.7565	2.0707	0.0000
0.9100	0.9700	0.4302	0.7522	2.0543	0.0000
0.9500	0.9300	0.4311	0.7566	2.1448	0.0000
0.7800	0.9300	0.4317	0.7532	2.1763	0.0000
0.7400	0.9400	0.4324	0.7475	2.1551	0.0000
0.7600	0.9700	0.4342	0.7343	2.0650	0.0000
0.7300	0.9600	0.4349	0.7351	2.0969	0.0000
0.9200	0.9700	0.4357	0.7524	2.0537	0.0000
0.7200	0.9500	0.4360	0.7424	2.1285	0.0000
0.9600	0.9300	0.4367	0.7568	2.1433	0.0000
0.7300	0.5500	0.4368	0.0000	4.2115	0.0000
0.7000	0.5600	0.4377	0.0000	4.2140	0.0000
0.7700	0.9300	0.4410	0.7530	2.1786	0.0000
0.7200	0.5500	0.4412	0.0000	4.2422	0.0000
0.9300	0.9700	0.4419	0.7529	2.0531	0.0000
0.7300	0.9400	0.4420	0.7464	2.1572	0.0000
0.9700	0.9300	0.4421	0.7568	2.1418	0.0000
0.7100	0.5600	0.4423	0.0000	4.1828	0.0000
0.7500	0.9700	0.4436	0.7320	2.0658	0.0000
0.7200	0.9600	0.4437	0.7332	2.0982	0.0000
0.7600	0.5400	0.4440	0.0000	4.2122	0.0000
0.7400	0.5500	0.4440	0.0000	4.1816	0.0000
0.7100	0.9500	0.4446	0.7401	2.1303	0.0001
0.6900	0.5600	0.4450	0.0000	4.2461	0.0000
0.7500	0.5400	0.4450	0.0000	4.2417	0.0000
0.6800	0.5700	0.4455	0.0000	4.1876	0.0000
0.8700	0.9200	0.4463	0.7555	2.1848	0.0000
0.8600	0.9200	0.4463	0.7552	2.1869	0.0000
0.9400	0.9700	0.4465	0.7536	2.0525	0.0000
0.8500	0.9800	0.4469	0.7413	2.0335	0.0000
0.9800	0.9300	0.4471	0.7568	2.1403	0.0000
0.8400	0.9800	0.4473	0.7406	2.0339	0.0000
0.8800	0.9200	0.4474	0.7558	2.1827	0.0000
0.8500	0.9200	0.4475	0.7548	2.1891	0.0000
0.6700	0.5700	0.4479	0.0000	4.2202	0.0000
0.8900	0.9200	0.4487	0.7560	2.1806	0.0000
0.8300	0.9800	0.4493	0.7392	2.0343	0.0000
0.8600	0.9800	0.4501	0.7425	2.0331	0.0000
0.8400	0.9200	0.4502	0.7546	2.1914	0.0000
0.9500	0.9700	0.4504	0.7537	2.0520	0.0000
0.9000	0.9200	0.4507	0.7560	2.1786	0.0000
0.7600	0.9300	0.4508	0.7520	2.1810	0.0000
0.7200	0.9400	0.4510	0.7463	2.1594	0.0000
0.9900	0.9300	0.4517	0.7568	2.1389	0.0000
0.7100	0.9600	0.4520	0.7322	2.0996	0.0001
0.8200	0.9800	0.4524	0.7373	2.0347	0.0000
0.7000	0.9500	0.4526	0.7383	2.1322	0.0001
0.7400	0.9700	0.4529	0.7295	2.0667	0.0000
0.9100	0.9200	0.4532	0.7565	2.1767	0.0000
0.9600	0.9700	0.4540	0.7538	2.0514	0.0000
0.8300	0.9200	0.4543	0.7539	2.1937	0.0000
0.7700	0.5400	0.4558	0.0000	4.1835	0.0000
1.0000	0.9300	0.4559	0.7568	2.1375	0.0000
0.9200	0.9200	0.4560	0.7565	2.1747	0.0000
0.8100	0.9800	0.4562	0.7354	2.0351	0.0000
0.6900	0.5700	0.4566	0.0000	4.1559	0.0000
0.9700	0.9700	0.4569	0.7543	2.0509	0.0000
0.8700	0.9800	0.4576	0.7431	2.0327	0.0000
0.7200	0.5600	0.4576	0.0000	4.1525	0.0000
0.7900	0.5300	0.4585	0.0000	4.2161	0.0000
0.7800	0.5300	0.4590	0.0000	4.2446	0.0000
0.8200	0.9200	0.4591	0.7538	2.1961	0.0000
0.9800	0.9700	0.4595	0.7553	2.0504	0.0000
0.7100	0.9400	0.4597	0.7448	2.1617	0.0001
0.7000	0.9600	0.4599	0.7312	2.1010	0.0001
0.9300	0.9200	0.4599	0.7565	2.1729	0.0000
0.6900	0.9500	0.4602	0.7366	2.1341	0.0002
0.7100	0.5500	0.4603	0.0000	4.2738	0.0000
0.7500	0.9300	0.4610	0.7516	2.1834	0.0000
0.7400	0.5400	0.4611	0.0000	4.2720	0.0000
0.8000	0.9800	0.4611	0.7321	2.0356	0.0000
0.9900	0.9700	0.4617	0.7554	2.0499	0.0000
0.7300	0.9700	0.4621	0.7256	2.0676	0.0000
0.6600	0.5700	0.4634	0.0000	4.2539	0.0000
1.0000	0.9700	0.4636	0.7564	2.0494	0.0000
0.7500	0.5500	0.4638	0.0000	4.1525	0.0000
0.8100	0.9200	0.4643	0.7537	2.1985	0.0000
0.9400	0.9200	0.4646	0.7566	2.1710	0.0000
0.8800	0.9800	0.4649	0.7434	2.0324	0.0000
0.6500	0.5800	0.4650	0.0000	4.1960	0.0000
0.7900	0.9800	0.4670	0.7293	2.0360	0.0000
0.6800	0.9500	0.4673	0.7338	2.1361	0.0004
0.6900	0.9600	0.4675	0.7295	2.1025	0.0002
0.7000	0.9400	0.4678	0.7431	2.1640	0.0001
0.6600	0.5800	0.4681	0.0000	4.1628	0.0000
0.6800	0.5600	0.4682	0.0000	4.2792	0.0000
0.8000	0.5300	0.4696	0.0000	4.1884	0.0000
0.9500	0.9200	0.4698	0.7567	2.1692	0.0000
0.8000	0.9200	0.4699	0.7533	2.2010	0.0000
0.7400	0.9300	0.4704	0.7512	2.1858	0.0000
0.7200	0.9700	0.4709	0.7242	2.0686	0.0000
0.6400	0.5800	0.4729	0.0000	4.2303	0.0000
0.7800	0.9800	0.4734	0.7278	2.0365	0.0000
0.6700	0.9500	0.4739	0.7326	2.1381	0.0006
0.8900	0.9800	0.4742	0.7445	2.0320	0.0000
0.6800	0.9600	0.4747	0.7287	2.1040	0.0004
0.7700	0.5300	0.4747	0.0000	4.2737	0.0000
0.8200	0.5200	0.4747	0.0000	4.2230	0.0000
0.9600	0.9200	0.4752	0.7567	2.1675	0.0000
0.6900	0.9400	0.4754	0.7426	2.1664	0.0002
0.7900	0.9200	0.4770	0.7530	2.2035	0.0000
0.7800	0.5400	0.4770	0.0000	4.1555	0.0000
0.8100	0.5200	0.4782	0.0000	4.2505	0.0000
0.7100	0.9700	0.4792	0.7204	2.0696	0.0001
0.7300	0.9300	0.4796	0.7507	2.1884	0.0000
0.6600	0.9500	0.4802	0.7307	2.1402	0.0008
0.7700	0.9800	0.4803	0.7260	2.0370	0.0000
0.7000	0.5700	0.4805	0.0000	4.1251	0.0000
0.9700	0.9200	0.4806	0.7568	2.1657	0.0000
0.9000	0.9800	0.4809	0.7456	2.0316	0.0000
0.6700	0.9600	0.4815	0.7272	2.1056	0.0007
0.8300	0.5200	0.4824	0.0000	4.1962	0.0000
0.6800	0.9400	0.4824	0.7416	2.1688	0.0003
0.7800	0.9200	0.4841	0.7528	2.2061	0.0000
0.6700	0.5800	0.4845	0.0000	4.1305	0.0000
0.9800	0.9200	0.4858	0.7569	2.1640	0.0000
0.6500	0.9500	0.4862	0.7295	2.1423	0.0013
0.7300	0.5600	0.4863	0.0000	4.1230	0.0000
0.7000	0.9700	0.4871	0.7181	2.0705	0.0001
0.7600	0.9800	0.4876	0.7243	2.0375	0.0000
0.6600	0.9600	0.4879	0.7246	2.1072	0.0010
0.8100	0.5300	0.4881	0.0000	4.1614	0.0000
0.6300	0.5900	0.4887	0.0000	4.1735	0.0000
0.7200	0.9300	0.4887	0.7496	2.1910	0.0000
0.6700	0.9400	0.4890	0.7405	2.1713	0.0005
0.9100	0.9800	0.4896	0.7459	2.0313	0.0000
0.7700	0.9200	0.4899	0.7522	2.2088	0.0000
0.6200	0.5900	0.4900	0.0000	4.2086	0.0000
0.7300	0.5400	0.4901	0.0000	4.3031	0.0000
0.9900	0.9200	0.4908	0.7569	2.1624	0.0000
0.6300	0.5800	0.4912	0.0000	4.2657	0.0000
0.6400	0.9500	0.4922	0.7291	2.1446	0.0021
0.6500	0.5700	0.4923	0.0000	4.2885	0.0000
0.7000	0.5500	0.4930	0.0000	4.3062	0.0000
0.8500	0.5100	0.4932	0.0000	4.2328	0.0000
0.8000	0.5200	0.4937	0.0000	4.2786	0.0000
0.6500	0.9600	0.4944	0.7216	2.1088	0.0017
0.6900	0.9700	0.4945	0.7160	2.0716	0.0003
0.6600	0.9400	0.4951	0.7383	2.1739	0.0006
0.8600	0.5100	0.4951	0.0000	4.2068	0.0000
0.7600	0.5500	0.4954	0.0000	4.1242	0.0000
1.0000	0.9200	0.4954	0.7569	2.1608	0.0000
0.7500	0.9800	0.4956	0.7232	2.0380	0.0000
0.8400	0.5200	0.4972	0.0000	4.1701	0.0000
0.7100	0.9300	0.4974	0.7478	2.1937	0.0000
0.6300	0.9500	0.4975	0.7280	2.1469	0.0026
0.9200	0.9800	0.4979	0.7471	2.0309	0.0000
0.7600	0.9200	0.4983	0.7512	2.2115	0.0000
0.6400	0.5900	0.4986	0.0000	4.1396	0.0000
0.6100	0.5900	0.5003	0.0000	4.2448	0.0000
0.6400	0.9600	0.5003	0.7205	2.1105	0.0023
0.7600	0.5300	0.5006	0.0000	4.3036	0.0000
0.6500	0.9400	0.5010	0.7371	2.1766	0.0010
0.8400	0.5100	0.5017	0.0000	4.2593	0.0000
0.6800	0.9700	0.5018	0.7144	2.0726	0.0005
0.9300	0.9800	0.5021	0.7480	2.0306	0.0000
0.6200	0.9500	0.5032	0.7270	2.1492	0.0037
0.8900	0.9100	0.5040	0.7546	2.2073	0.0000
0.7400	0.9800	0.5043	0.7149	2.0385	0.0000
0.9000	0.9100	0.5043	0.7547	2.2050	0.0000
0.8800	0.9100	0.5045	0.7540	2.2097	0.0000
0.6700	0.5600	0.5048	0.0000	4.3132	0.0000
0.8700	0.5100	0.5049	0.0000	4.1814	0.0000
0.9100	0.9100	0.5052	0.7548	2.2028	0.0000
0.8700	0.9100	0.5055	0.7537	2.2121	0.0000
0.7000	0.9300	0.5055	0.7464	2.1965	0.0001
0.9400	0.9800	0.5060	0.7497	2.0303	0.0000
0.6300	0.9600	0.5063	0.7178	2.1123	0.0032
0.8600	0.9100	0.5065	0.7535	2.2145	0.0000
0.7900	0.5400	0.5065	0.0000	4.1282	0.0000
0.9200	0.9100	0.5066	0.7549	2.2006	0.0000
0.6400	0.9400	0.5068	0.7359	2.1794	0.0016
0.7500	0.9200	0.5074	0.7505	2.2143	0.0000
0.8500	0.9100	0.5075	0.7532	2.2171	0.0000
0.9300	0.9100	0.5085	0.7553	2.1984	0.0000
0.6100	0.9500	0.5088	0.7259	2.1517	0.0047
0.6700	0.9700	0.5088	0.7122	2.0737	0.0006
0.8900	0.5000	0.5097	0.0000	4.2200	0.0000
0.9500	0.9800	0.5104	0.7502	2.0300	0.0000
0.8400	0.9100	0.5105	0.7530	2.2197	0.0000
0.9400	0.9100	0.5108	0.7553	2.1963	0.0000
0.6000	0.6000	0.5120	0.0000	4.1886	0.0000
0.6200	0.9600	0.5121	0.7162	2.1141	0.0041
0.6300	0.9400	0.5125	0.7344	2.1822	0.0023
0.9000	0.5000	0.5127	0.0000	4.1953	0.0000
0.7300	0.9800	0.5129	0.7136	2.0390	0.0000
0.6900	0.9300	0.5132	0.7460	2.1993	0.0002
0.9600	0.9800	0.5133	0.7512	2.0297	0.0000
0.8200	0.5300	0.5138	0.0000	4.1351	0.0000
0.9500	0.9100	0.5141	0.7554	2.1942	0.0000
0.6000	0.9500	0.5145	0.7243	2.1542	0.0063
0.8300	0.9100	0.5145	0.7526	2.2223	0.0000
0.8800	0.5000	0.5156	0.0000	4.2452	0.0000
0.6600	0.9700	0.5157	0.7101	2.0748	0.0011
0.5900	0.6000	0.5158	0.0000	4.2257	0.0000
0.9700	0.9800	0.5158	0.7525	2.0294	0.0000
0.6800	0.5800	0.5164	0.0000	4.0991	0.0000
0.7400	0.9200	0.5171	0.7494	2.2172	0.0000
0.6100	0.6000	0.5177	0.0000	4.1527	0.0000
0.8500	0.5200	0.5177	0.0000	4.1446	0.0000
0.6200	0.9400	0.5177	0.7317	2.1851	0.0031
0.6100	0.9600	0.5178	0.7135	2.1160	0.0052
0.9800	0.9800	0.5181	0.7579	2.0291	0.0000
0.9600	0.9100	0.5183	0.7560	2.1922	0.0000
0.8300	0.5100	0.5185	0.0000	4.2866	0.0000
0.8200	0.9100	0.5186	0.7519	2.2250	0.0000
0.7900	0.5200	0.5194	0.0000	4.3075	0.0000
0.9900	0.9800	0.5199	0.7617	2.0288	0.0000
0.8800	0.5100	0.5200	0.0000	4.1566	0.0000
0.5900	0.9500	0.5201	0.7229	2.1568	0.0079
0.6800	0.9300	0.5203	0.7442	2.2022	0.0002
0.8600	0.9900	0.5209	0.7348	2.0093	0.0000
0.6000	0.5900	0.5210	0.0000	4.2822	0.0000
0.8500	0.9900	0.5212	0.7336	2.0094	0.0000
1.0000	0.9800	0.5213	0.7619	2.0285	0.0000
0.7100	0.5700	0.5214	0.0000	4.0951	0.0000
0.7200	0.9800	0.5214	0.7120	2.0395	0.0001
0.6500	0.9700	0.5223	0.7086	2.0760	0.0016
0.9100	0.5000	0.5223	0.0000	4.1712	0.0000
0.6200	0.5800	0.5225	0.0000	4.3023	0.0000
0.6100	0.9400	0.5229	0.7299	2.1882	0.0040
0.9700	0.9100	0.5230	0.7565	2.1902	0.0000
0.8100	0.9100	0.5230	0.7515	2.2278	0.0000
0.8400	0.9900	0.5234	0.7326	2.0095	0.0000
0.9300	0.4900	0.5238	0.0000	4.2118	0.0000
0.6000	0.9600	0.5239	0.7111	2.1179	0.0069
0.6500	0.5900	0.5248	0.0000	4.1067	0.0000
0.8700	0.9900	0.5249	0.7366	2.0092	0.0000
0.5800	0.9500	0.5255	0.7222	2.1595	0.0097
0.8300	0.9900	0.5259	0.7315	2.0096	0.0000
0.9400	0.4900	0.5261	0.0000	4.1882	0.0000
0.3700	0.7000	0.5262	0.0000	4.2699	0.0461
0.7300	0.9200	0.5264	0.7481	2.2202	0.0000
0.6700	0.9300	0.5271	0.7439	2.2053	0.0004
0.9800	0.9100	0.5279	0.7567	2.1883	0.0000
0.8000	0.9100	0.5280	0.7483	2.2306	0.0000
0.5800	0.6000	0.5281	0.0000	4.2641	0.0000
0.6000	0.9400	0.5281	0.7271	2.1913	0.0051
0.8200	0.9900	0.5284	0.7299	2.0097	0.0000
0.6400	0.9700	0.5290	0.7033	2.0772	0.0025
0.8700	0.5000	0.5290	0.0000	4.2710	0.0000
0.7200	0.5400	0.5291	0.0000	4.3351	0.0000
0.7400	0.5600	0.5293	0.0000	4.0944	0.0000
0.9200	0.4900	0.5297	0.0000	4.2358	0.0000
0.5900	0.9600	0.5297	0.7102	2.1199	0.0085
0.7100	0.9800	0.5298	0.7103	2.0401	0.0001
0.8100	0.9900	0.5310	0.7291	2.0099	0.0000
0.3800	0.6900	0.5310	0.0000	4.3185	0.0310
0.5700	0.9500	0.5311	0.7211	2.1623	0.0119
0.6400	0.5700	0.5324	0.0000	4.3243	0.0000
0.9900	0.9100	0.5329	0.7568	2.1864	0.0000
0.6600	0.9300	0.5334	0.7406	2.2084	0.0005
0.5900	0.9400	0.5334	0.7266	2.1946	0.0066
0.6900	0.5500	0.5339	0.0000	4.3397	0.0000
0.8800	0.9900	0.5339	0.7382	2.0091	0.0000
0.8000	0.9900	0.5340	0.7274	2.0100	0.0000
0.9500	0.4900	0.5341	0.0000	4.1652	0.0000
0.7500	0.5300	0.5342	0.0000	4.3343	0.0000
0.7900	0.9100	0.5344	0.7470	2.2336	0.0000
0.7200	0.9200	0.5346	0.7476	2.2233	0.0000
0.9700	0.4800	0.5350	0.0000	4.2077	0.0000
0.5700	0.6100	0.5350	0.0000	4.2085	0.0000
0.3800	0.7000	0.5351	0.0000	4.2102	0.0371
0.6300	0.9700	0.5351	0.7022	2.0784	0.0032
0.9800	0.4800	0.5352	0.0000	4.1852	0.0000
0.5800	0.9600	0.5355	0.7092	2.1219	0.0104
0.6200	0.6000	0.5361	0.0000	4.1180	0.0000
0.5600	0.9500	0.5364	0.7175	2.1652	0.0143
0.9200	0.5000	0.5365	0.0000	4.1476	0.0000
0.7900	0.9900	0.5376	0.7245	2.0101	0.0000
1.0000	0.9100	0.5377	0.7568	2.1845	0.0000
0.7000	0.9800	0.5377	0.7063	2.0407	0.0001
0.5800	0.6100	0.5379	0.0000	4.1704	0.0000
0.5800	0.9400	0.5388	0.7250	2.1979	0.0084
0.7700	0.5500	0.5388	0.0000	4.0966	0.0000
0.6500	0.9300	0.5394	0.7386	2.2116	0.0008
0.8900	0.9900	0.5398	0.7398	2.0090	0.0000
0.5600	0.6100	0.5406	0.0000	4.2480	0.0000
0.8900	0.5100	0.5407	0.0000	4.1324	0.0000
0.7800	0.9100	0.5409	0.7422	2.2365	0.0000
0.9900	0.4800	0.5411	0.0000	4.1631	0.0000
0.3900	0.6900	0.5412	0.0000	4.2590	0.0236
0.6200	0.9700	0.5413	0.7003	2.0796	0.0042
0.5700	0.9600	0.5414	0.7074	2.1241	0.0128
0.5500	0.9500	0.5421	0.7166	2.1682	0.0177
0.7800	0.9900	0.5421	0.7200	2.0102	0.0000
0.3600	0.7000	0.5425	0.0000	4.3329	0.0542
0.9600	0.4800	0.5426	0.0000	4.2307	0.0000
0.9100	0.4900	0.5428	0.0000	4.2604	0.0000
0.8200	0.5100	0.5430	0.0000	4.3144	0.0000
0.3700	0.6900	0.5431	0.0000	4.3811	0.0354
0.7100	0.9200	0.5433	0.7459	2.2264	0.0000
0.5700	0.9400	0.5437	0.7247	2.2014	0.0101
0.8600	0.5200	0.5446	0.0000	4.1196	0.0000
0.6400	0.9300	0.5452	0.7369	2.2149	0.0013
0.6900	0.9800	0.5455	0.7018	2.0413	0.0003
0.8000	0.5400	0.5455	0.0000	4.1016	0.0000
0.9600	0.4900	0.5466	0.0000	4.1426	0.0000
0.8300	0.5300	0.5468	0.0000	4.1093	0.0000
0.5400	0.9500	0.5472	0.7136	2.1713	0.0212
0.7700	0.9100	0.5472	0.7399	2.2396	0.0000
0.5600	0.9600	0.5474	0.7062	2.1263	0.0156
0.7700	0.9900	0.5475	0.7163	2.0104	0.0000
0.6100	0.9700	0.5475	0.6986	2.0810	0.0053
0.8600	0.5000	0.5481	0.0000	4.2974	0.0000
0.5600	0.9400	0.5487	0.7215	2.2050	0.0125
0.9000	0.9900	0.5496	0.7419	2.0089	0.0000
0.6600	0.5600	0.5505	0.0000	4.3482	0.0000
0.6300	0.9300	0.5508	0.7362	2.2183	0.0018
0.7800	0.5200	0.5512	0.0000	4.3370	0.0000
0.5900	0.6100	0.5513	0.0000	4.1337	0.0000
0.7600	0.9100	0.5514	0.7381	2.2428	0.0000
0.7000	0.9200	0.5516	0.7454	2.2297	0.0001
1.0000	0.4800	0.5517	0.0000	4.1415	0.0000
0.5700	0.6000	0.5526	0.0000	4.3038	0.0000
0.6800	0.9800	0.5529	0.6993	2.0419	0.0004
0.5300	0.9500	0.5530	0.7110	2.1746	0.0263
0.7600	0.9900	0.5531	0.7112	2.0105	0.0000
0.5500	0.9400	0.5534	0.7202	2.2087	0.0152
0.6000	0.9700	0.5535	0.6967	2.0823	0.0066
0.5500	0.9600	0.5535	0.7034	2.1286	0.0190
0.5900	0.5900	0.5548	0.0000	4.3209	0.0000
1.0000	0.4700	0.5552	0.0000	4.2296	0.0000
0.9100	0.9900	0.5557	0.7436	2.0088	0.0000
0.9300	0.5000	0.5560	0.0000	4.1245	0.0000
0.6200	0.9300	0.5561	0.7352	2.2218	0.0024
0.5500	0.6200	0.5565	0.0000	4.1933	0.0000
0.5500	0.6100	0.5567	0.0000	4.2888	0.0001
0.9500	0.4800	0.5567	0.0000	4.2542	0.0000
0.5400	0.6200	0.5568	0.0000	4.2339	0.0001
0.5200	0.9500	0.5575	0.7091	2.1779	0.0311
0.7500	0.9100	0.5577	0.7336	2.2460	0.0000
0.5400	0.9400	0.5579	0.7185	2.2126	0.0182
0.9200	0.9000	0.5587	0.7509	2.2269	0.0000
0.9100	0.9000	0.5590	0.7503	2.2294	0.0000
0.9300	0.9000	0.5590	0.7532	2.2245	0.0000
0.7500	0.9900	0.5592	0.7066	2.0106	0.0000
0.6900	0.9200	0.5594	0.7443	2.2330	0.0001
0.5400	0.9600	0.5595	0.6992	2.1310	0.0231
0.5900	0.9700	0.5596	0.6936	2.0837	0.0082
0.9400	0.9000	0.5600	0.7532	2.2221	0.0000
0.9000	0.9000	0.5600	0.7458	2.2320	0.0000
0.6700	0.9800	0.5600	0.6937	2.0425	0.0007
0.9000	0.4900	0.5607	0.0000	4.2855	0.0000
0.8900	0.9000	0.5614	0.7438	2.2346	0.0000
0.6100	0.9300	0.5614	0.7324	2.2255	0.0034
0.9500	0.9000	0.5614	0.7538	2.2198	0.0000
0.5300	0.9400	0.5624	0.7174	2.2166	0.0222
0.5100	0.9500	0.5624	0.7064	2.1814	0.0378
0.6900	0.5800	0.5625	0.0000	4.0687	0.0000
0.8800	0.9000	0.5627	0.7418	2.2372	0.0000
0.9600	0.9000	0.5631	0.7540	2.2175	0.0000
0.4000	0.6800	0.5636	0.0000	4.3085	0.0158
0.6100	0.5800	0.5636	0.0000	4.3400	0.0000
