GENE_ID	MUTS	MUTS_RECURRENCE	SAMPLES	P_VALUE	Q_VALUE	P_VALUE_NEG	Q_VALUE_NEG	SNP	MNP	INDELS	SYMBOL
gc19_pc.3utr::gencode::PPP1R3A::ENSG00000154415.3	4	4	4	0.00088	0.5377129411764706	0.99912	0.999953	4	0	0	gc19_pc.3utr::gencode::PPP1R3A::ENSG00000154415.3
gc19_pc.3utr::gencode::NGFR::ENSG00000064300.4	3	3	3	0.00089	0.5377129411764706	0.99911	0.999953	3	0	0	gc19_pc.3utr::gencode::NGFR::ENSG00000064300.4
gc19_pc.3utr::gencode::C12orf60::ENSG00000182993.3	2	2	2	0.00092	0.5377129411764706	0.99908	0.999953	2	0	0	gc19_pc.3utr::gencode::C12orf60::ENSG00000182993.3
gc19_pc.3utr::gencode::GML::ENSG00000104499.2	2	2	2	0.00092	0.5377129411764706	0.99908	0.999953	2	0	0	gc19_pc.3utr::gencode::GML::ENSG00000104499.2
gc19_pc.3utr::gencode::TDP2::ENSG00000111802.9	1	1	1	0.001		0.99929		1	0	0	gc19_pc.3utr::gencode::TDP2::ENSG00000111802.9
gc19_pc.3utr::gencode::TSR1::ENSG00000167721.6	1	1	1	0.00123		0.99894		1	0	0	gc19_pc.3utr::gencode::TSR1::ENSG00000167721.6
gc19_pc.3utr::gencode::HPGD::ENSG00000164120.9	4	4	4	0.00125	0.6900000000000001	0.99875	0.999953	4	0	0	gc19_pc.3utr::gencode::HPGD::ENSG00000164120.9
gc19_pc.3utr::gencode::NR0B2::ENSG00000131910.4	1	1	1	0.00134		1.0		1	0	0	gc19_pc.3utr::gencode::NR0B2::ENSG00000131910.4
gc19_pc.3utr::gencode::TLDC1::ENSG00000140950.11	5	5	5	0.00147	0.7687326315789473	0.99853	0.999953	5	0	0	gc19_pc.3utr::gencode::TLDC1::ENSG00000140950.11
gc19_pc.3utr::gencode::ACTN4::ENSG00000130402.7	2	2	2	0.00172	0.84672	0.99828	0.999953	2	0	0	gc19_pc.3utr::gencode::ACTN4::ENSG00000130402.7
gc19_pc.3utr::gencode::MAP4K4::ENSG00000071054.11	4	4	4	0.00179	0.84672	0.99821	0.999953	4	0	0	gc19_pc.3utr::gencode::MAP4K4::ENSG00000071054.11
gc19_pc.3utr::gencode::HIST1H4E::ENSG00000198518.5	8	8	8	0.0019	0.84672	0.9981	0.999953	7	0	1	gc19_pc.3utr::gencode::HIST1H4E::ENSG00000198518.5
gc19_pc.3utr::gencode::KIDINS220::ENSG00000134313.10	6	6	5	0.00196	0.84672	0.99804	0.999953	5	0	1	gc19_pc.3utr::gencode::KIDINS220::ENSG00000134313.10
gc19_pc.3utr::gencode::ZMYM1::ENSG00000197056.5	1	1	1	0.0022		0.99796		1	0	0	gc19_pc.3utr::gencode::ZMYM1::ENSG00000197056.5
gc19_pc.3utr::gencode::PRPF38A::ENSG00000134748.12	9	9	7	0.00266	0.8490763636363636	0.99734	0.9996540139211136	9	0	0	gc19_pc.3utr::gencode::PRPF38A::ENSG00000134748.12
gc19_pc.3utr::gencode::SOX17::ENSG00000164736.5	3	3	3	0.00267	0.8490763636363636	0.99733	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::SOX17::ENSG00000164736.5
gc19_pc.3utr::gencode::UTP23::ENSG00000147679.7	12	12	10	0.00277	0.8490763636363636	0.99723	0.9996540139211136	11	0	1	gc19_pc.3utr::gencode::UTP23::ENSG00000147679.7
gc19_pc.3utr::gencode::KIF26B::ENSG00000162849.11	18	17	18	0.00286	0.8490763636363636	0.99714	0.9996540139211136	17	1	0	gc19_pc.3utr::gencode::KIF26B::ENSG00000162849.11
gc19_pc.3utr::gencode::SRSF11::ENSG00000116754.9	4	4	4	0.00288	0.8490763636363636	0.99712	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::SRSF11::ENSG00000116754.9
gc19_pc.3utr::gencode::SSBP2::ENSG00000145687.11	10	10	10	0.00298	0.8490763636363636	0.99702	0.9996540139211136	9	0	1	gc19_pc.3utr::gencode::SSBP2::ENSG00000145687.11
gc19_pc.3utr::gencode::CRADD::ENSG00000169372.8	3	3	3	0.003	0.8490763636363636	0.997	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::CRADD::ENSG00000169372.8
gc19_pc.3utr::gencode::C1orf216::ENSG00000142686.7	4	4	4	0.00314	0.8490763636363636	0.99686	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::C1orf216::ENSG00000142686.7
gc19_pc.3utr::gencode::TCEAL5::ENSG00000204065.2	1	1	1	0.00319		0.99915		1	0	0	gc19_pc.3utr::gencode::TCEAL5::ENSG00000204065.2
gc19_pc.3utr::gencode::CBLN1::ENSG00000102924.7	4	4	4	0.00321	0.8490763636363636	0.99679	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::CBLN1::ENSG00000102924.7
gc19_pc.3utr::gencode::KIAA1841::ENSG00000162929.9	4	4	4	0.00335	0.8490763636363636	0.99665	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::KIAA1841::ENSG00000162929.9
gc19_pc.3utr::gencode::FBXL2::ENSG00000153558.9	5	5	5	0.00335	0.8490763636363636	0.99665	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::FBXL2::ENSG00000153558.9
gc19_pc.3utr::gencode::NLRP8::ENSG00000179709.4	2	2	2	0.00339	0.8490763636363636	0.99661	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::NLRP8::ENSG00000179709.4
gc19_pc.3utr::gencode::CSRNP3::ENSG00000178662.11	36	36	33	0.00342	0.8490763636363636	0.99658	0.9996540139211136	34	0	2	gc19_pc.3utr::gencode::CSRNP3::ENSG00000178662.11
gc19_pc.3utr::gencode::KIAA0319L::ENSG00000142687.13	2	2	2	0.00351	0.8490763636363636	0.99649	0.9996540139211136	1	0	1	gc19_pc.3utr::gencode::KIAA0319L::ENSG00000142687.13
gc19_pc.3utr::gencode::HEY2::ENSG00000135547.4	2	2	2	0.00383	0.8490763636363636	0.99617	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::HEY2::ENSG00000135547.4
gc19_pc.3utr::gencode::RBM3::ENSG00000102317.13	1	1	1	0.00387		0.99649		1	0	0	gc19_pc.3utr::gencode::RBM3::ENSG00000102317.13
gc19_pc.3utr::gencode::SPAG9::ENSG00000008294.16	11	11	11	0.00401	0.8490763636363636	0.99599	0.9996540139211136	11	0	0	gc19_pc.3utr::gencode::SPAG9::ENSG00000008294.16
gc19_pc.3utr::gencode::ABHD2::ENSG00000140526.12	21	21	21	0.00413	0.8490763636363636	0.99587	0.9996540139211136	20	0	1	gc19_pc.3utr::gencode::ABHD2::ENSG00000140526.12
gc19_pc.3utr::gencode::LATS2::ENSG00000150457.7	2	2	2	0.00413	0.8490763636363636	0.99587	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::LATS2::ENSG00000150457.7
gc19_pc.3utr::gencode::ASPHD2::ENSG00000128203.6	4	4	4	0.00414	0.8490763636363636	0.99586	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::ASPHD2::ENSG00000128203.6
gc19_pc.3utr::gencode::MGC4294::ENSG00000268941.1	1	1	1	0.00415		1.0		1	0	0	gc19_pc.3utr::gencode::MGC4294::ENSG00000268941.1
gc19_pc.3utr::gencode::RPS6KC1::ENSG00000136643.7	2	2	2	0.00418	0.8490763636363636	0.99582	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::RPS6KC1::ENSG00000136643.7
gc19_pc.3utr::gencode::KL::ENSG00000133116.6	3	3	3	0.00429	0.8490763636363636	0.99571	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::KL::ENSG00000133116.6
gc19_pc.3utr::gencode::MGAT5B::ENSG00000167889.8	5	5	5	0.00434	0.8490763636363636	0.99566	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::MGAT5B::ENSG00000167889.8
gc19_pc.3utr::gencode::INPP5J::ENSG00000185133.9	1	1	1	0.00439		0.99795		1	0	0	gc19_pc.3utr::gencode::INPP5J::ENSG00000185133.9
gc19_pc.3utr::gencode::EDDM3A::ENSG00000181562.2	3	3	3	0.0044	0.8490763636363636	0.9956	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::EDDM3A::ENSG00000181562.2
gc19_pc.3utr::gencode::ZXDC::ENSG00000070476.10	5	5	5	0.00441	0.8490763636363636	0.99559	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::ZXDC::ENSG00000070476.10
gc19_pc.3utr::gencode::SPECC1L::ENSG00000100014.15	1	1	1	0.00443		0.99573		1	0	0	gc19_pc.3utr::gencode::SPECC1L::ENSG00000100014.15
gc19_pc.3utr::gencode::NEUROG3::ENSG00000122859.4	2	2	2	0.00449	0.8490763636363636	0.99551	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::NEUROG3::ENSG00000122859.4
gc19_pc.3utr::gencode::MICU3::ENSG00000155970.7	5	5	5	0.00452	0.8490763636363636	0.99548	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::MICU3::ENSG00000155970.7
gc19_pc.3utr::gencode::LPIN2::ENSG00000101577.5	3	3	3	0.00453	0.8490763636363636	0.99547	0.9996540139211136	2	0	1	gc19_pc.3utr::gencode::LPIN2::ENSG00000101577.5
gc19_pc.3utr::gencode::SEL1L::ENSG00000071537.9	15	15	14	0.00456	0.8490763636363636	0.99544	0.9996540139211136	15	0	0	gc19_pc.3utr::gencode::SEL1L::ENSG00000071537.9
gc19_pc.3utr::gencode::WNT10A::ENSG00000135925.4	3	3	3	0.00457	0.8490763636363636	0.99543	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::WNT10A::ENSG00000135925.4
gc19_pc.3utr::gencode::SLFN13::ENSG00000154760.9	12	12	12	0.00458	0.8490763636363636	0.99542	0.9996540139211136	11	0	1	gc19_pc.3utr::gencode::SLFN13::ENSG00000154760.9
gc19_pc.3utr::gencode::MPP6::ENSG00000105926.11	17	17	16	0.00466	0.8490763636363636	0.99534	0.9996540139211136	16	0	1	gc19_pc.3utr::gencode::MPP6::ENSG00000105926.11
gc19_pc.3utr::gencode::NOL4::ENSG00000101746.11	7	7	7	0.0047	0.8490763636363636	0.9953	0.9996540139211136	7	0	0	gc19_pc.3utr::gencode::NOL4::ENSG00000101746.11
gc19_pc.3utr::gencode::SHISA9::ENSG00000237515.6	24	24	24	0.00486	0.8541994029850747	0.99514	0.9996540139211136	24	0	0	gc19_pc.3utr::gencode::SHISA9::ENSG00000237515.6
gc19_pc.3utr::gencode::SLC38A10::ENSG00000157637.8	5	5	4	0.00497	0.8541994029850747	0.99503	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::SLC38A10::ENSG00000157637.8
gc19_pc.3utr::gencode::NSMAF::ENSG00000035681.3	1	1	1	0.005		0.99549		0	0	1	gc19_pc.3utr::gencode::NSMAF::ENSG00000035681.3
gc19_pc.3utr::gencode::ZNF710::ENSG00000140548.5	1	1	1	0.0053		0.99512		1	0	0	gc19_pc.3utr::gencode::ZNF710::ENSG00000140548.5
gc19_pc.3utr::gencode::AL391421.1::ENSG00000204049.1	3	3	3	0.00539	0.8541994029850747	0.99461	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::AL391421.1::ENSG00000204049.1
gc19_pc.3utr::gencode::CRISP1::ENSG00000124812.10	4	4	4	0.0054	0.8541994029850747	0.9946	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::CRISP1::ENSG00000124812.10
gc19_pc.3utr::gencode::KLK3::ENSG00000142515.10	4	4	4	0.00541	0.8541994029850747	0.99459	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::KLK3::ENSG00000142515.10
gc19_pc.3utr::gencode::MYT1L::ENSG00000186487.13	13	13	12	0.00545	0.8541994029850747	0.99455	0.9996540139211136	12	0	1	gc19_pc.3utr::gencode::MYT1L::ENSG00000186487.13
gc19_pc.3utr::gencode::RSPRY1::ENSG00000159579.9	3	3	3	0.00551	0.8541994029850747	0.99449	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::RSPRY1::ENSG00000159579.9
gc19_pc.3utr::gencode::GRK5::ENSG00000198873.10	1	1	1	0.00558		0.99507		1	0	0	gc19_pc.3utr::gencode::GRK5::ENSG00000198873.10
gc19_pc.3utr::gencode::MNT::ENSG00000070444.10	5	5	5	0.00565	0.8541994029850747	0.99435	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::MNT::ENSG00000070444.10
gc19_pc.3utr::gencode::ZKSCAN2::ENSG00000155592.11	4	4	3	0.00567	0.8541994029850747	0.99433	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::ZKSCAN2::ENSG00000155592.11
gc19_pc.3utr::gencode::RSL1D1::ENSG00000171490.8	7	7	7	0.00567	0.8541994029850747	0.99433	0.9996540139211136	7	0	0	gc19_pc.3utr::gencode::RSL1D1::ENSG00000171490.8
gc19_pc.3utr::gencode::WNK3::ENSG00000196632.6	3	3	3	0.00571	0.8541994029850747	0.99429	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::WNK3::ENSG00000196632.6
gc19_pc.3utr::gencode::BOD1::ENSG00000145919.6	2	2	2	0.00576	0.8541994029850747	0.99424	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::BOD1::ENSG00000145919.6
gc19_pc.3utr::gencode::GAL3ST4::ENSG00000197093.6	1	1	1	0.00585		0.99632		1	0	0	gc19_pc.3utr::gencode::GAL3ST4::ENSG00000197093.6
gc19_pc.3utr::gencode::CRYAA::ENSG00000160202.3	1	1	1	0.00587		0.99435		0	0	1	gc19_pc.3utr::gencode::CRYAA::ENSG00000160202.3
gc19_pc.3utr::gencode::FAM208A::ENSG00000163946.9	2	2	1	0.0059		0.9941		1	0	1	gc19_pc.3utr::gencode::FAM208A::ENSG00000163946.9
gc19_pc.3utr::gencode::C16orf54::ENSG00000185905.3	3	3	3	0.00602	0.8738235616438357	0.99398	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::C16orf54::ENSG00000185905.3
gc19_pc.3utr::gencode::CMTR1::ENSG00000137200.8	2	2	2	0.00607	0.8738235616438357	0.99393	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::CMTR1::ENSG00000137200.8
gc19_pc.3utr::gencode::TBC1D14::ENSG00000132405.14	4	4	3	0.00616	0.8738235616438357	0.99384	0.9996540139211136	3	0	1	gc19_pc.3utr::gencode::TBC1D14::ENSG00000132405.14
gc19_pc.3utr::gencode::RP1::ENSG00000104237.6	2	2	2	0.00627	0.8738235616438357	0.99373	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::RP1::ENSG00000104237.6
gc19_pc.3utr::gencode::ZNF185::ENSG00000147394.14	1	1	1	0.0063		0.99385		1	0	0	gc19_pc.3utr::gencode::ZNF185::ENSG00000147394.14
gc19_pc.3utr::gencode::SLC25A31::ENSG00000151475.4	3	3	3	0.00641	0.8738235616438357	0.99359	0.9996540139211136	2	1	0	gc19_pc.3utr::gencode::SLC25A31::ENSG00000151475.4
gc19_pc.3utr::gencode::DMBX1::ENSG00000197587.6	8	8	7	0.00642	0.8738235616438357	0.99358	0.9996540139211136	7	0	1	gc19_pc.3utr::gencode::DMBX1::ENSG00000197587.6
gc19_pc.3utr::gencode::SNX21::ENSG00000124104.14	2	2	2	0.00663	0.881336103896104	0.99337	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::SNX21::ENSG00000124104.14
gc19_pc.3utr::gencode::ITGB8::ENSG00000105855.5	33	33	32	0.00675	0.881336103896104	0.99325	0.9996540139211136	33	0	0	gc19_pc.3utr::gencode::ITGB8::ENSG00000105855.5
gc19_pc.3utr::gencode::NAA40::ENSG00000110583.8	5	5	5	0.0068	0.881336103896104	0.9932	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::NAA40::ENSG00000110583.8
gc19_pc.3utr::gencode::FUT9::ENSG00000172461.6	69	69	61	0.00683	0.881336103896104	0.99317	0.9996540139211136	67	0	2	gc19_pc.3utr::gencode::FUT9::ENSG00000172461.6
gc19_pc.3utr::gencode::AMPD2::ENSG00000116337.11	2	2	2	0.00702	0.89056	0.99298	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::AMPD2::ENSG00000116337.11
gc19_pc.3utr::gencode::OBSL1::ENSG00000124006.10	3	3	3	0.00713	0.89056	0.99287	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::OBSL1::ENSG00000124006.10
gc19_pc.3utr::gencode::RP11-382J12.1::ENSG00000246366.2	9	9	9	0.00722	0.89056	0.99278	0.9996540139211136	9	0	0	gc19_pc.3utr::gencode::RP11-382J12.1::ENSG00000246366.2
gc19_pc.3utr::gencode::STMN1::ENSG00000117632.16	3	3	3	0.00726	0.89056	0.99274	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::STMN1::ENSG00000117632.16
gc19_pc.3utr::gencode::MMP17::ENSG00000198598.2	1	1	1	0.00733		0.99323		1	0	0	gc19_pc.3utr::gencode::MMP17::ENSG00000198598.2
gc19_pc.3utr::gencode::SEC14L5::ENSG00000103184.7	12	12	12	0.00762	0.9233209756097561	0.99238	0.9996540139211136	12	0	0	gc19_pc.3utr::gencode::SEC14L5::ENSG00000103184.7
gc19_pc.3utr::gencode::ABCA7::ENSG00000064687.8	1	1	1	0.00767		0.99395		1	0	0	gc19_pc.3utr::gencode::ABCA7::ENSG00000064687.8
gc19_pc.3utr::gencode::CPS1::ENSG00000021826.10	9	9	9	0.00781	0.9349416867469879	0.99219	0.9996540139211136	7	0	2	gc19_pc.3utr::gencode::CPS1::ENSG00000021826.10
gc19_pc.3utr::gencode::SPTBN4::ENSG00000160460.11	3	3	3	0.00807	0.9545657142857145	0.99193	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::SPTBN4::ENSG00000160460.11
gc19_pc.3utr::gencode::KIAA1462::ENSG00000165757.8	7	7	6	0.00823	0.9620385882352941	0.99177	0.9996540139211136	7	0	0	gc19_pc.3utr::gencode::KIAA1462::ENSG00000165757.8
gc19_pc.3utr::gencode::METTL22::ENSG00000067365.10	3	3	3	0.00858	0.9645734831460674	0.99142	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::METTL22::ENSG00000067365.10
gc19_pc.3utr::gencode::GORASP1::ENSG00000114745.9	5	5	5	0.00861	0.9645734831460674	0.99139	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::GORASP1::ENSG00000114745.9
gc19_pc.3utr::gencode::STOX1::ENSG00000165730.10	2	2	2	0.00862	0.9645734831460674	0.99138	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::STOX1::ENSG00000165730.10
gc19_pc.3utr::gencode::CABLES1::ENSG00000134508.8	2	2	2	0.00864	0.9645734831460674	0.99136	0.9996540139211136	1	0	1	gc19_pc.3utr::gencode::CABLES1::ENSG00000134508.8
gc19_pc.3utr::gencode::SLCO1C1::ENSG00000139155.4	1	1	1	0.00872		0.99156		1	0	0	gc19_pc.3utr::gencode::SLCO1C1::ENSG00000139155.4
gc19_pc.3utr::gencode::FAM160A2::ENSG00000051009.6	1	1	1	0.00879		0.99238		1	0	0	gc19_pc.3utr::gencode::FAM160A2::ENSG00000051009.6
gc19_pc.3utr::gencode::C9orf47::ENSG00000186354.6	8	8	8	0.0089	0.9750382417582417	0.9911	0.9996540139211136	8	0	0	gc19_pc.3utr::gencode::C9orf47::ENSG00000186354.6
gc19_pc.3utr::gencode::POLR3D::ENSG00000168495.8	6	6	5	0.00893	0.9750382417582417	0.99107	0.9996540139211136	5	0	1	gc19_pc.3utr::gencode::POLR3D::ENSG00000168495.8
gc19_pc.3utr::gencode::PGBD5::ENSG00000177614.5	4	4	4	0.00926	0.9872578723404254	0.99074	0.9996540139211136	4	0	0	gc19_pc.3utr::gencode::PGBD5::ENSG00000177614.5
gc19_pc.3utr::gencode::RUNDC3A::ENSG00000108309.8	1	1	1	0.00928		0.99142		1	0	0	gc19_pc.3utr::gencode::RUNDC3A::ENSG00000108309.8
gc19_pc.3utr::gencode::SLC2A13::ENSG00000151229.8	15	15	12	0.0093	0.9872578723404254	0.9907	0.9996540139211136	14	0	1	gc19_pc.3utr::gencode::SLC2A13::ENSG00000151229.8
gc19_pc.3utr::gencode::NFIC::ENSG00000141905.13	9	9	9	0.00934	0.9872578723404254	0.99066	0.9996540139211136	8	0	1	gc19_pc.3utr::gencode::NFIC::ENSG00000141905.13
gc19_pc.3utr::gencode::ADK::ENSG00000156110.9	5	5	5	0.00947	0.9904623157894735	0.99053	0.9996540139211136	5	0	0	gc19_pc.3utr::gencode::ADK::ENSG00000156110.9
gc19_pc.3utr::gencode::FLT3::ENSG00000122025.10	1	1	1	0.00962		0.99057		1	0	0	gc19_pc.3utr::gencode::FLT3::ENSG00000122025.10
gc19_pc.3utr::gencode::C19orf40::ENSG00000131944.5	2	2	2	0.00965	0.9935999999999999	0.99035	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::C19orf40::ENSG00000131944.5
gc19_pc.3utr::gencode::UBL3::ENSG00000122042.9	3	3	3	0.00975	0.9935999999999999	0.99025	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::UBL3::ENSG00000122042.9
gc19_pc.3utr::gencode::TP53INP2::ENSG00000078804.8	3	3	3	0.0098	0.9935999999999999	0.9902	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::TP53INP2::ENSG00000078804.8
gc19_pc.3utr::gencode::ZKSCAN7::ENSG00000196345.8	3	3	3	0.01002	0.9978827586206898	0.98998	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::ZKSCAN7::ENSG00000196345.8
gc19_pc.3utr::gencode::BIVM::ENSG00000134897.9	2	2	2	0.01018	0.9978827586206898	0.98982	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::BIVM::ENSG00000134897.9
gc19_pc.3utr::gencode::IQCH::ENSG00000103599.15	1	1	1	0.01019		0.99		1	0	0	gc19_pc.3utr::gencode::IQCH::ENSG00000103599.15
gc19_pc.3utr::gencode::RP11-451M19.3::ENSG00000203876.5	3	3	3	0.0104	0.9978827586206898	0.9896	0.9996540139211136	3	0	0	gc19_pc.3utr::gencode::RP11-451M19.3::ENSG00000203876.5
gc19_pc.3utr::gencode::FLJ20373::ENSG00000233404.2	2	2	2	0.01046	0.9978827586206898	0.98954	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::FLJ20373::ENSG00000233404.2
gc19_pc.3utr::gencode::DEFB126::ENSG00000125788.5	2	2	2	0.0106	0.9978827586206898	0.9896	0.9996540139211136	2	0	0	gc19_pc.3utr::gencode::DEFB126::ENSG00000125788.5
gc19_pc.3utr::gencode::ZSCAN9::ENSG00000137185.7	1	1	1	0.01065		0.98959		1	0	0	gc19_pc.3utr::gencode::ZSCAN9::ENSG00000137185.7
gc19_pc.3utr::gencode::ACVRL1::ENSG00000139567.8	3	3	3	0.01081	0.9978827586206898	0.98919	0.9995516973456727	3	0	0	gc19_pc.3utr::gencode::ACVRL1::ENSG00000139567.8
gc19_pc.3utr::gencode::STRADB::ENSG00000082146.8	2	2	2	0.01084	0.9978827586206898	0.98916	0.9995516973456727	2	0	0	gc19_pc.3utr::gencode::STRADB::ENSG00000082146.8
gc19_pc.3utr::gencode::CITED4::ENSG00000179862.5	4	3	4	0.01108	0.9978827586206898	0.98892	0.999482160512664	4	0	0	gc19_pc.3utr::gencode::CITED4::ENSG00000179862.5
gc19_pc.3utr::gencode::BZRAP1::ENSG00000005379.11	2	2	2	0.01111	0.9978827586206898	0.98889	0.999482160512664	2	0	0	gc19_pc.3utr::gencode::BZRAP1::ENSG00000005379.11
gc19_pc.3utr::gencode::DCN::ENSG00000011465.12	37	37	31	0.01118	0.9978827586206898	0.98882	0.999482160512664	34	0	3	gc19_pc.3utr::gencode::DCN::ENSG00000011465.12
gc19_pc.3utr::gencode::ZNF547::ENSG00000152433.10	1	1	1	0.01125		0.98911		1	0	0	gc19_pc.3utr::gencode::ZNF547::ENSG00000152433.10
gc19_pc.3utr::gencode::RNF135::ENSG00000181481.9	2	2	2	0.01134	0.9978827586206898	0.98867	0.999482160512664	2	0	0	gc19_pc.3utr::gencode::RNF135::ENSG00000181481.9
gc19_pc.3utr::gencode::HIST1H2BD::ENSG00000158373.7	1	1	1	0.01135		0.98896		1	0	0	gc19_pc.3utr::gencode::HIST1H2BD::ENSG00000158373.7
gc19_pc.3utr::gencode::MYRF::ENSG00000124920.9	2	2	2	0.01141	0.9978827586206898	0.98859	0.999482160512664	2	0	0	gc19_pc.3utr::gencode::MYRF::ENSG00000124920.9
gc19_pc.3utr::gencode::C15orf39::ENSG00000167173.14	2	2	2	0.01149	0.9978827586206898	0.98851	0.999482160512664	2	0	0	gc19_pc.3utr::gencode::C15orf39::ENSG00000167173.14
