Chromosome	Start	End	A1.Seg.CN	A2.Seg.CN
2	142567738	153468187	1	1
2	153473492	153512748	0	1
2	153514583	172690418	1	1
2	172693780	172926226	0	2
2	172930550	175979684	1	1
2	176042912	176944943	0	2
2	176957822	197537015	1	1
2	197583379	198365041	1	2
2	198365043	219029361	1	1
2	219103442	219146539	0	0
2	219232743	220345521	1	2
2	220399951	225265645	1	1
2	225338836	225796151	1	1
2	225907150	228996672	1	1
2	228997298	231077676	0	2
2	231103796	232263127	1	1
2	232319816	232323740	0	20
2	232325623	235962210	1	1
2	236761396	242196324	0	1
2	242202033	242375813	0	0
2	242396426	242839363	1	1
3	386247	12845166	1	1
3	13009187	22210274	1	2
3	22210463	23960950	0	3
3	23962135	48719031	1	2
3	48936323	50407833	0	3
3	50597092	62647928	1	2
3	63823689	64138727	0	0
3	64184343	71021303	1	1
3	71247304	75986695	1	1
3	75986719	87299075	1	1
3	93593119	126352650	1	1
3	126373612	126373666	0	20
3	126373994	127779329	1	1
3	127816223	129034387	1	1
3	129152639	140419715	1	1
3	140784855	141641015	1	1
3	141644274	170079240	1	1
3	170584178	170584301	0	0
3	170857240	195477689	1	1
3	195479844	195506060	0	2
3	195507062	195507762	1	4
3	195507827	195594436	1	2
3	195595657	197677259	1	1
3	197680883	197896800	0	2
4	85944	1006333	1	1
4	1016279	1659128	0	2
4	1701882	3039311	1	1
4	3162056	3319271	0	1
4	3416000	7728658	1	1
4	7731310	7741851	1	5
4	7770723	13601337	1	1
4	15004857	15569018	1	2
4	15987755	20533727	1	1
4	20535445	23891094	1	1
4	24529457	24531274	0	14
4	24534687	41265994	1	1
4	41266295	42557859	1	1
4	42580442	49063872	1	1
4	52711185	77958765	1	1
4	77959421	88755828	1	1
4	88759690	100827622	1	1
4	100829746	102750922	0	2
4	102751076	103790186	1	1
4	103808458	103911159	1	3
4	104640935	148546226	1	1
4	148944467	151656589	1	1
4	152024055	152024202	0	0
4	152069090	159464763	1	1
4	159560343	159636804	0	20
4	162307060	170927260	1	1
4	174090130	174292346	0	7
4	175237408	185941964	1	1
4	186064502	186068149	0	3
4	186168387	190862182	1	1
4	190862204	190881826	1	2
5	205775	10258125	1	1
5	10260960	10264820	0	4
5	10264962	16673975	1	1
5	16794916	31302288	1	2
5	31317494	32444286	1	2
5	32591734	32601318	0	20
5	32713108	37318295	1	2
5	37358052	37834708	0	3
5	38412674	44809162	1	2
5	49695048	68616331	1	2
5	68660815	68661013	0	0
5	68709884	72419041	1	2
5	72798803	72850282	0	3
5	72851535	77385415	1	2
5	78936902	121739436	1	1
5	122110816	123980472	0	2
5	125896918	132425465	1	1
5	132437496	133861441	0	3
5	133861663	149784414	1	1
5	149786734	149827261	0	2
5	149901373	160114730	1	1
5	160754120	175959334	1	2
5	175959483	177574901	1	3
5	177631847	177637722	0	20
5	177668965	180622615	1	2
5	180664627	180669314	0	7
6	312023	27100503	1	2
6	27107258	28871958	0	3
6	29011927	29911069	1	1
6	29911076	29911190	0	20
6	29911218	30670292	1	1
6	30691682	30692159	0	20
6	30859355	31239378	1	1
6	31239430	31239616	0	2
6	31239621	31498497	1	1
6	31498848	31498953	0	0
6	31506624	32485524	1	1
6	32485539	32610623	1	1
6	32627906	35436925	1	1
6	35437179	35438488	0	4
6	35443573	36343500	1	1
6	36343573	36566734	0	2
6	36645588	41554993	1	1
6	41555663	43140063	1	1
6	43184132	44219710	1	1
6	44220829	44221314	0	3
6	44232920	56437902	1	1
6	56462601	56600207	0	1
6	56911574	57372361	1	1
6	57372436	57512841	1	2
6	62284141	74228006	1	1
6	74228446	74228539	0	2
6	74229792	75864276	1	1
6	75865330	76022082	0	2
6	76022090	107533265	1	1
6	107854910	108041307	1	1
6	108042216	139265882	1	1
6	139266402	139694574	0	2
6	139695061	151199071	1	1
6	151247555	151378351	1	3
6	151645569	151766822	1	1
6	151789868	152382382	0	1
6	152443756	159590734	1	1
6	159654126	160201056	0	0
6	160445493	170592293	1	1
6	170844359	170893781	0	17
7	286534	5568135	1	2
7	5568156	5569280	1	9
7	5984721	6683454	1	2
7	6693041	8009350	0	3
7	10973362	24904889	1	2
7	25163274	25163419	0	0
7	25181912	26224668	1	2
7	26232932	26385961	0	4
7	26396777	30485741	1	2
7	30490760	32338848	1	2
7	32527321	33388576	0	3
7	33388713	57195291	1	2
7	63095948	72971531	1	2
7	72971684	73631308	1	3
7	73646655	100064719	1	2
7	100075498	100473457	0	3
7	100482697	100551162	1	2
7	100551181	100638433	1	1
7	100638484	121636647	1	2
7	121653177	150883821	1	2
7	150945634	151329769	0	2
7	151573549	158902425	1	2
8	357320	3253997	1	1
8	3263500	3855707	0	1
8	6266693	10584288	1	1
8	10587702	12051600	1	1
8	12283473	25898565	1	1
8	26149700	26268048	0	2
8	26484064	43049743	1	1
8	48848402	56882150	1	1
8	56911861	57221860	0	2
8	57222072	67752145	1	1
8	67963480	69009268	0	2
8	69020496	98831577	1	1
8	99057182	99115144	0	2
8	99121036	101661803	1	1
8	101721756	101733888	0	2
8	101937374	144776713	1	1
8	144886458	145162137	0	1
8	145579931	145771211	1	1
8	145806299	146015839	0	4
8	146015842	146076708	0	2
9	14690	156383	1	2
9	214706	19376408	1	1
9	19376519	19378887	0	17
9	19434980	33026642	1	1
9	33030568	33038880	0	0
9	33039024	33798075	1	1
9	33798359	34725047	1	1
9	34725069	35057189	0	0
9	35093849	36169894	1	1
9	36211696	36211894	0	20
9	36218377	43860959	1	1
9	43861081	43915893	1	5
9	65505560	67934812	1	1
9	67934837	70918391	1	1
9	70993020	90536955	1	1
9	90538501	91943440	0	2
9	91953252	100684719	1	1
9	100684757	100963653	1	1
9	100965472	127951863	1	1
9	127998802	127999168	0	17
9	127999501	131570178	1	1
9	131581173	131585216	0	2
9	131586318	134103759	1	1
9	134165277	134406650	0	1
9	134464117	139371786	1	1
9	139377498	139716011	1	1
9	139734994	140130882	1	1
9	140137897	140140008	1	6
9	140142299	140250770	1	1
9	140260835	140697853	0	1
9	140705836	141009015	1	1
10	294165	1717670	1	1
10	1779349	7811407	1	1
10	7829759	7841059	0	9
10	7866557	17199419	1	1
10	17199871	17277314	0	2
10	17702640	35485028	1	1
10	35625980	38404188	1	1
10	43088333	51586514	1	1
10	51592387	51592606	0	0
10	51623004	51873645	1	2
10	52002852	73045284	1	1
10	73056496	73082563	1	3
10	73111258	79793688	1	1
10	79795286	79797035	0	3
10	79814319	81192577	1	1
10	81205064	81272888	0	2
10	81317045	88123951	1	1
10	88126067	88854464	0	3
10	88988115	92676127	1	1
10	93170149	94111043	1	1
10	94215430	95459817	1	1
10	95994119	96068480	0	1
10	96106409	98311190	1	1
10	98346570	98592780	0	2
10	98592843	99342563	1	1
10	99361977	99934334	0	2
10	99946220	103310574	1	1
10	103546137	104474134	0	2
10	104486942	120486027	1	1
10	120514382	120863786	0	0
10	120914692	124917238	1	1
10	124921633	124922327	0	0
10	124924402	126678046	1	1
10	126678055	126692039	1	3
10	126715375	128209959	1	1
10	128213284	135105991	1	1
10	135160812	135440278	0	1
11	193096	1084821	1	1
11	1092420	1770250	1	1
11	1862168	5270539	1	1
11	5270686	5290749	0	3
11	5322737	8640896	1	1
11	8660117	8707341	0	2
11	8716968	9603236	1	1
11	9685730	9685819	0	0
11	9715628	10794281	1	1
11	10819233	10821176	0	2
11	10822202	14316211	1	1
11	14380607	14825704	1	1
11	14852490	31284683	1	1
11	31648554	32623946	0	2
11	32852039	45936035	1	1
11	45944462	47656386	1	1
11	47711820	48367311	1	1
11	48367363	49178140	1	1
11	55588156	61722645	1	1
11	61732250	61732343	0	3
11	61906299	62494467	1	1
11	62494482	62494584	0	0
11	62502790	63585804	1	1
11	63655939	64039175	0	1
11	64052447	64883864	1	1
11	64888183	64897453	0	1
11	64972354	65601466	1	1
11	65623468	65623708	0	20
11	65625464	66617162	1	1
11	66813479	67166558	0	2
11	67173553	67771257	1	1
11	67782947	71193135	1	1
11	71193804	72407460	1	1
11	72946140	75110680	1	1
11	75111767	75115217	0	5
11	75141630	85718663	1	1
11	85737502	86098680	0	2
11	86111700	114401577	1	1
11	114421683	114424809	1	1
11	114424813	118405637	1	1
11	118405743	118959732	1	2
11	118965671	118965743	0	0
11	118965787	122928875	1	2
11	122928972	122930617	0	4
11	122931570	134251777	1	2
12	248202	6640677	1	1
12	6646800	6647076	0	3
12	6677197	11150579	1	1
12	11182889	11183708	2	10
12	11244166	11461570	1	1
12	11461596	12006544	0	2
12	12483275	31867856	1	1
12	31882043	31944857	0	3
12	32134240	33559593	1	1
12	39300136	40898862	1	1
12	40898924	40907691	1	3
12	40911587	49444545	1	1
12	49521843	50017621	0	4
12	50188434	53825325	1	1
12	53865502	54119147	0	2
12	54339052	57030026	1	1
12	57032140	57033851	0	5
12	57039080	69991675	1	1
12	69993656	69993776	0	0
12	70047362	95694394	1	1
12	95907575	95907793	0	12
12	95914687	104324182	1	1
12	104327919	104340698	0	3
12	104341015	110238596	1	1
12	110318133	111180503	0	2
12	111290871	112241766	1	1
12	112321251	113349136	1	1
12	113357193	120614093	1	1
12	120636393	120636525	0	20
12	120636549	120903610	1	1
12	120907323	120936066	0	7
12	120941927	121746406	1	1
12	121747532	122268250	1	1
12	122295187	123880862	1	1
12	123892095	124242373	0	2
12	124315343	125397901	1	1
12	125397921	125599215	0	1
12	125626785	131306314	1	1
12	131359104	131360584	0	3
12	131438971	133235789	1	1
12	133236000	133306946	0	1
12	133313372	133683020	1	1
13	19752625	25671214	1	1
13	25671245	25672188	0	1
13	25825889	44734949	1	1
13	45914140	45914278	0	20
13	45914957	110436232	1	1
13	110437042	110437920	0	0
13	110813523	115048168	1	1
14	19377907	20404767	1	1
14	20443872	23416252	1	1
14	23443920	23495462	0	2
14	23511357	37149172	1	1
14	37153163	38295646	1	1
14	38310537	45468761	1	1
14	45587239	47120748	0	11
14	47314938	47770841	1	1
14	50085526	50159801	0	2
14	50245109	63749824	1	1
14	63851359	64375985	0	2
14	64855163	66209190	1	1
14	67674823	105962134	0	1
15	20739739	32450828	1	1
15	32460485	32895260	1	3
15	32971934	35045312	1	1
15	35168056	43028749	1	2
15	43028787	44086110	1	3
15	44088304	64011062	1	2
15	64673043	65425819	0	3
15	65624167	72668539	1	2
15	72767154	72955226	0	3
15	72956717	102346343	1	2
16	109103	1279732	1	1
16	1279778	1306347	1	5
16	1400019	1515162	1	1
16	1524850	1728147	1	2
16	1779451	2011126	1	1
16	2011561	2012845	0	0
16	2014283	5110271	1	1
16	5143647	6533057	0	2
16	6533549	11945231	1	1
16	11966927	12136634	0	2
16	12223637	28916199	1	1
16	28936392	29818535	0	2
16	29885154	30078492	1	1
16	30080644	30199774	0	2
16	30208527	30621455	1	1
16	30760130	30995418	1	1
16	30996871	32265022	1	1
16	46617647	48234327	1	1
16	48396190	58552228	1	1
16	58554874	58555167	0	20
16	58558989	67410875	1	1
16	67427519	68379452	1	1
16	68712185	72827758	1	1
16	72845721	74444964	1	1
16	74454934	77918801	1	1
16	78466758	81056111	1	1
16	81060124	88637970	1	1
16	88677780	88851288	1	2
16	88872229	90095620	1	1
17	65632	5034048	0	1
17	5036122	5036281	1	1
17	5036849	16068183	0	1
17	16068234	16068545	1	1
17	16120460	20142630	0	1
17	20370735	20770003	1	1
17	20799119	21432428	1	1
17	25628820	29849129	1	1
17	29849261	30696889	1	1
17	31082441	36656939	1	1
17	36829714	36962899	1	1
17	36997679	38319627	1	1
17	38634677	38975327	1	1
17	38976577	39780804	1	1
17	39847039	40564303	1	1
17	40704887	41955460	0	2
17	41978756	47122525	1	1
17	47218899	48050760	0	2
17	48069284	49067763	1	1
17	49097501	49244233	0	2
17	49281133	60813627	1	1
17	60814273	62045702	1	1
17	62462889	62496413	0	20
17	62496725	63052798	0	2
17	63189817	67522975	1	1
17	67532388	71231604	0	2
17	71232687	73753661	1	1
17	73774841	73775235	0	15
17	73790093	76430032	1	1
17	76481608	79171829	1	1
17	79478458	79519066	0	7
17	79519382	79827863	1	1
17	79849373	80006558	0	1
17	80019192	81052407	1	1
18	158749	6576232	1	2
18	6588865	14851756	1	1
18	18534637	77918221	1	1
19	312020	1095430	1	1
19	1104966	1244518	0	1
19	1391059	1599499	1	1
19	1783261	2255311	1	1
19	2269630	2278508	0	4
19	2278509	3938782	1	1
19	3976557	3982931	0	2
19	4024020	5653972	1	1
19	5691368	5696889	0	20
19	5707204	7927465	1	1
19	7935018	7990100	1	4
19	8005858	8548175	1	1
19	8550794	8564466	0	2
19	8564469	8999311	1	1
19	8999331	9019353	1	3
19	9020154	12791739	1	1
19	12806995	12936644	0	2
19	12939792	14582468	1	1
19	14584747	14677726	0	2
19	14769339	18391171	1	1
19	18391866	18895610	1	1
19	18899893	24115138	1	1
19	30103156	39205015	1	1
19	39219988	39281631	0	4
19	39281641	40370471	1	1
19	40376881	40486279	0	2
19	40486465	40742105	1	1
19	40854292	41120001	1	1
19	41133844	41949870	1	1
19	42373111	42385028	0	0
19	42385038	42916861	0	2
19	42937902	45458146	1	1
19	45458593	45494752	1	3
19	45495668	49117104	1	1
19	49119139	49207352	0	1
19	49248640	49973784	1	1
19	50001184	50096708	0	2
19	50138829	51170706	1	1
19	51171727	51273761	0	1
19	51275044	54631378	1	1
19	54631852	54705434	1	1
19	54705438	54711434	0	3
19	54726083	54781509	1	1
19	54781843	56185250	1	1
19	56185404	56284587	1	3
19	56307583	58791213	1	1
19	58797344	59082605	0	1
20	76962	3211719	1	1
20	3233086	3669986	1	1
20	3673445	3842984	1	1
20	3869677	5096195	1	1
20	5159344	25371315	1	1
20	30253654	32298323	1	1
20	32333181	32677640	0	2
20	32856998	33880146	1	1
20	34208579	35559043	0	3
20	35559352	42249398	1	2
20	42264502	42697255	0	2
20	42747247	52789743	1	2
20	52835671	54934346	0	0
20	54945783	57290347	1	2
20	57464178	57485988	0	5
20	57569816	62904542	1	2
21	10907137	11098863	1	1
21	14982469	30357163	1	1
21	30357307	30445948	0	2
21	30481371	34715699	1	1
21	34896261	35230987	0	2
21	35239562	44323720	1	1
21	44324365	48084085	1	1
22	16266885	24224659	0	1
22	24236688	25019155	0	1
22	25019294	25024438	1	1
22	25119284	51183255	0	1
X	2826699	2836373	1	1
X	7811185	13727435	0	2
X	15529708	16875804	0	0
X	19504725	49092211	0	2
X	49216948	51488293	0	2
X	51488309	51645008	0	3
X	52891523	52891739	1	1
X	53227596	57147585	0	3
X	65242826	71379919	0	2
X	71379926	75397525	0	3
X	77096919	100265777	0	0
X	100601434	118377216	0	2
X	118603641	118604079	2	3
X	118604907	154467096	0	2
Y	2654954	9368210	0	2
Y	21154323	21154603	1	2
